z_cm qC23_t0001 qC23_t001 qC23_t01 qC23_t1 qC40_t0001 qC40_t001 qC40_t01 qC40_t1
0.0037499999999999999 7.2339413728939431e-11 -8.751767448689717e-05 -1.8025604764391324e-05 1.8754030037563632e-08 7.285646742697523e-11 3.4816744007566375e-06 1.3013327943143243e-05 3.9280712120516477e-09
0.01125 6.1223681163604675e-11 -0.00025911333495084104 -5.6177549295868015e-05 5.7654816059460935e-08 6.1210122722681445e-11 -6.066561152935637e-06 4.0563711786090684e-05 1.4128834124883903e-08
0.018749999999999999 6.0237559818905417e-11 -0.00041083088482333265 -9.3128539387634472e-05 9.5715901687785849e-08 6.0285924819125882e-11 -2.716331747727438e-05 6.7172828228164708e-05 2.2984025675849654e-08
0.026249999999999999 5.958939862722623e-11 -0.00057780063621868359 -0.00013089865269105125 1.3434200198019828e-07 5.9581141167986626e-11 -5.2923334248355307e-05 9.4416950423965168e-05 3.3015419592681248e-08
0.033750000000000002 5.9306701142494477e-11 -0.00074157843493381467 -0.00016773770942809393 1.7273721185827283e-07 5.9297800906301163e-11 -9.1696779488399348e-05 0.00012133451240217176 4.2612321986485028e-08
0.041249999999999995 5.9239003814106435e-11 -0.00091693275843286791 -0.0002037002918683911 2.111270907546155e-07 5.9226437342432446e-11 -0.00013768984516195014 0.0001481544170003668 5.2700510738150176e-08
0.048750000000000002 5.929964597444854e-11 -0.0010928939977877326 -0.00023851210576224713 2.4943840429771437e-07 5.9277953450460062e-11 -0.00019289648908363383 0.00017475798194409959 6.2846537316877998e-08
0.056249999999999994 5.9454730065739949e-11 -0.001283522770534459 -0.00027207915999047974 2.876603364015524e-07 5.9422315040596175e-11 -0.00025640596347079541 0.00020108640993474764 7.2991524464107712e-08
0.063750000000000001 5.9510501299911115e-11 -0.001476199899775886 -0.00030440486144516968 3.2577912313786895e-07 5.9473998565358778e-11 -0.00033212499362845886 0.00022709883621353471 8.3333961142818518e-08
0.071249999999999994 5.9495349805119213e-11 -0.0016827844241753323 -0.00033553328611026206 3.637798237215107e-07 5.9452930281526731e-11 -0.00042760893730194044 0.00025276267585865687 9.3672099048627217e-08
0.078750000000000001 5.9418241765726017e-11 -0.0018949733602971611 -0.00036548898648471029 4.0164703005988181e-07 5.9398027782680455e-11 -0.00056081370851730349 0.00027804777019021739 1.043220094961052e-07
0.086249999999999993 5.9390484480498719e-11 -0.0021173697201643162 -0.0003942695945993397 4.3936737364196939e-07 5.9374513637714582e-11 -0.00075066869663806225 0.00030292253499357246 1.1533769013592909e-07
0.09375 5.9396734174471518e-11 -0.0023480926146587019 -0.00042186835212733683 4.7693073587667374e-07 5.9383628043509745e-11 -0.00099325773917784458 0.00032735329772294917 1.2681480682880601e-07
0.10124999999999999 5.941290673142134e-11 -0.0025696493849809141 -0.00044827434788882655 5.1432882521211965e-07 5.9408197308711667e-11 -0.0012309765445841739 0.00035130555299911216 1.3872563922582725e-07
0.10875 5.9420725317919577e-11 -0.0027636815305565319 -0.00047345572228108326 5.5155236252734167e-07 5.9416689528245948e-11 -0.0014364195784079259 0.00037474467607848447 1.5085993523582021e-07
0.11624999999999999 5.9417719002071824e-11 -0.0029302750257186468 -0.00049735935983861198 5.8858961364748446e-07 5.9413980728565499e-11 -0.0016182971378469121 0.0003976356557511852 1.63055830624881e-07
0.12375 5.941328030878908e-11 -0.0030719151686176231 -0.00051993118681166852 6.254270899316908e-07 5.9405781714019454e-11 -0.0017787813670163447 0.00041994383506973308 1.7536252419324159e-07
0.13125000000000001 5.9407280898998913e-11 -0.0031914053217145812 -0.00054113443233714642 6.620514126250899e-07 5.9394822068387538e-11 -0.001925499038438492 0.0004416384644878605 1.881279615174759e-07
0.13874999999999998 5.9410019793875409e-11 -0.003291315992721 -0.00056094943224207279 6.9845066237435175e-07 5.939222741129775e-11 -0.0020614708981704457 0.00046269815607250897 2.0173015608976443e-07
0.14624999999999999 5.940753854409006e-11 -0.0033734292509801866 -0.00057936156907220984 7.3461492913470627e-07 5.9388729701762995e-11 -0.002187722582637427 0.0004831147142556533 2.1620337863618145e-07
0.15375 5.9405568038451897e-11 -0.0034395431217725176 -0.00059636921339461569 7.7053642186933348e-07 5.938399335561061e-11 -0.0023019849156917841 0.00050289186920834906 2.3120220782048216e-07
0.16125 5.9402303714138215e-11 -0.0034915186452197655 -0.0006119835996133443 8.0620979317255412e-07 5.9379069831037916e-11 -0.0024018631997960727 0.00052203845369737096 2.465131514838069e-07
0.16874999999999998 5.940670583752109e-11 -0.0035297601667472773 -0.00062618677762433486 8.4163273035647768e-07 5.9373167177902352e-11 -0.0024863899395156644 0.00054055929694290074 2.6241354099880448e-07
