severity,method,nx,cell_index,z_left_cm,z_center_cm,z_right_cm,r_left_cm,r_center_cm,r_right_cm,dx_cm
50,fv-muscl-minmod,400,164,2.445,2.4525,2.46,0.09000000772,0.0900000000188,0.0900000328063,0.015
50,fv-muscl-minmod,400,165,2.46,2.4675,2.475,0.0900000328063,0.0900003757035,0.0900016757889,0.015
50,fv-muscl-minmod,400,166,2.475,2.4825,2.49,0.0900016757889,0.0900049310756,0.0900114646485,0.015
50,fv-muscl-minmod,400,167,2.49,2.4975,2.505,0.0900114646485,0.0900228993481,0.0900411328592,0.015
50,fv-muscl-minmod,400,168,2.505,2.5125,2.52,0.0900411328592,0.0900683130483,0.0901068133897,0.015
50,fv-muscl-minmod,400,169,2.52,2.5275,2.535,0.0901068133897,0.0901592083208,0.0902282483775,0.015
50,fv-muscl-minmod,400,170,2.535,2.5425,2.55,0.0902282483775,0.0903168349748,0.0904279947191,0.015
50,fv-muscl-minmod,400,171,2.55,2.5575,2.565,0.0904279947191,0.0905648531649,0.0907306079537,0.015
50,fv-muscl-minmod,400,172,2.565,2.5725,2.58,0.0907306079537,0.0909285013104,0.0911617919024,0.015
50,fv-muscl-minmod,400,173,2.58,2.5875,2.595,0.0911617919024,0.0914337261058,0.0917475087583,0.015
50,fv-muscl-minmod,400,174,2.595,2.6025,2.61,0.0917475087583,0.0921062735183,0.0925130529837,0.015
50,fv-muscl-minmod,400,175,2.61,2.6175,2.625,0.0925130529837,0.0929707487615,0.0934821017121,0.015
50,fv-muscl-minmod,400,176,2.625,2.6325,2.64,0.0934821017121,0.094049662621,0.0946757635799,0.015
50,fv-muscl-minmod,400,177,2.64,2.6475,2.655,0.0946757635799,0.0953624903762,0.0961116562111,0.015
50,fv-muscl-minmod,400,178,2.655,2.6625,2.67,0.0961116562111,0.0969247770732,0.0978030490986,0.015
50,fv-muscl-minmod,400,179,2.67,2.6775,2.685,0.0978030490986,0.0987473282475,0.0997581126123,0.015
50,fv-muscl-minmod,400,180,2.685,2.6925,2.7,0.0997581126123,0.100835527659,0.101979314676,0.015
50,fv-muscl-minmod,400,181,2.7,2.7075,2.715,0.101979314676,0.103188822668,0.104463003902,0.015
50,fv-muscl-minmod,400,182,2.715,2.7225,2.73,0.104463003902,0.105800413266,0.107199211542,0.015
50,fv-muscl-minmod,400,183,2.73,2.7375,2.745,0.107199211542,0.108657172644,0.11017169483,0.015
50,fv-muscl-minmod,400,184,2.745,2.7525,2.76,0.11017169483,0.111739815813,0.113358231647,0.015
50,fv-muscl-minmod,400,185,2.76,2.7675,2.775,0.113358231647,0.11502331922,0.116731162092,0.015
50,fv-muscl-minmod,400,186,2.775,2.7825,2.79,0.116731162092,0.118477579398,0.120258157479,0.015
50,fv-muscl-minmod,400,187,2.79,2.7975,2.805,0.120258157479,0.122068283833,0.123903182984,0.015
50,fv-muscl-minmod,400,188,2.805,2.8125,2.82,0.123903182984,0.125757953807,0.127627607835,0.015
50,fv-muscl-minmod,400,189,2.82,2.8275,2.835,0.127627607835,0.129507108068,0.13139140779,0.015
50,fv-muscl-minmod,400,190,2.835,2.8425,2.85,0.13139140779,0.133275488919,0.135154399413,0.015
50,fv-muscl-minmod,400,191,2.85,2.8575,2.865,0.135154399413,0.137023289289,0.138877444849,0.015
50,fv-muscl-minmod,400,192,2.865,2.8725,2.88,0.138877444849,0.14071232072,0.14252356938,0.015
50,fv-muscl-minmod,400,193,2.88,2.8875,2.895,0.14252356938,0.144307067885,0.146058941552,0.015
50,fv-muscl-minmod,400,194,2.895,2.9025,2.91,0.146058941552,0.147775584421,0.14945367637,0.015
50,fv-muscl-minmod,400,195,2.91,2.9175,2.925,0.14945367637,0.151090196794,0.152682434847,0.015
50,fv-muscl-minmod,400,196,2.925,2.9325,2.94,0.152682434847,0.154227996271,0.155724806882,0.015
50,fv-muscl-minmod,400,197,2.94,2.9475,2.955,0.155724806882,0.157171112856,0.158565477958,0.015
50,fv-muscl-minmod,400,198,2.955,2.9625,2.97,0.158565477958,0.159906777936,0.161194192284,0.015
50,fv-muscl-minmod,400,199,2.97,2.9775,2.985,0.161194192284,0.162427193646,0.163605535118,0.015
50,fv-muscl-minmod,400,200,2.985,2.9925,3,0.163605535118,0.16472923573,0.165798564405,0.015
50,fv-muscl-minmod,400,201,3,3.0075,3.015,0.165798564405,0.166814022672,0.167776326427,0.015
50,fv-muscl-minmod,400,202,3.015,3.0225,3.03,0.167776326427,0.168686387011,0.169545291881,0.015
50,fv-muscl-minmod,400,203,3.03,3.0375,3.045,0.169545291881,0.170354285108,0.17111474795,0.015
50,fv-muscl-minmod,400,204,3.045,3.0525,3.06,0.17111474795,0.171828179699,0.172496178998,0.015
50,fv-muscl-minmod,400,205,3.06,3.0675,3.075,0.172496178998,0.173120425788,0.17370266404,0.015
50,fv-muscl-minmod,400,206,3.075,3.0825,3.09,0.17370266404,0.174244685378,0.174748313694,0.015
50,fv-muscl-minmod,400,207,3.09,3.0975,3.105,0.174748313694,0.17521539084,0.175647763433,0.015
50,fv-muscl-minmod,400,208,3.105,3.1125,3.12,0.175647763433,0.176047270822,0.176415734221,0.015
50,fv-muscl-minmod,400,209,3.12,3.1275,3.135,0.176415734221,0.176754947018,0.177066666231,0.015
50,fv-muscl-minmod,400,210,3.135,3.1425,3.15,0.177066666231,0.177352605098,0.177614426747,0.015
50,fv-muscl-minmod,400,211,3.15,3.1575,3.165,0.177614426747,0.177853738911,0.178072089614,0.015
50,fv-muscl-minmod,400,212,3.165,3.1725,3.18,0.178072089614,0.17827096379,0.178451780746,0.015
50,fv-muscl-minmod,400,213,3.18,3.1875,3.195,0.178451780746,0.178615892417,0.17876458233,0.015
50,fv-muscl-minmod,400,214,3.195,3.2025,3.21,0.17876458233,0.178899065221,0.179020487222,0.015
50,fv-muscl-minmod,400,215,3.21,3.2175,3.225,0.179020487222,0.179129926555,0.17922839467,0.015
50,fv-muscl-minmod,400,216,3.225,3.2325,3.24,0.17922839467,0.179316837762,0.179396138609,0.015
50,fv-muscl-minmod,400,217,3.24,3.2475,3.255,0.179396138609,0.179467118666,0.179530540385,0.015
50,fv-muscl-minmod,400,218,3.255,3.2625,3.27,0.179530540385,0.179587109689,0.179637478573,0.015
50,fv-muscl-minmod,400,219,3.27,3.2775,3.285,0.179637478573,0.179682247788,0.17972196957,0.015
50,fv-muscl-minmod,400,220,3.285,3.2925,3.3,0.17972196957,0.179757150392,0.179788253704,0.015
50,fv-muscl-minmod,400,221,3.3,3.3075,3.315,0.179788253704,0.179815702636,0.179839882658,0.015
50,fv-muscl-minmod,400,222,3.315,3.3225,3.33,0.179839882658,0.179861144163,0.179879804973,0.015
50,fv-muscl-minmod,400,223,3.33,3.3375,3.345,0.179879804973,0.179896152746,0.179910447288,0.015
50,fv-muscl-minmod,400,224,3.345,3.3525,3.36,0.179910447288,0.179922922752,0.179933789726,0.015
50,fv-muscl-minmod,400,225,3.36,3.3675,3.375,0.179933789726,0.179943237207,0.17995143446,0.015
50,fv-muscl-minmod,400,226,3.375,3.3825,3.39,0.17995143446,0.179958532761,0.179964667021,0.015
50,fv-muscl-minmod,400,227,3.39,3.3975,3.405,0.179964667021,0.179969957308,0.179974510254,0.015
50,fv-muscl-minmod,400,228,3.405,3.4125,3.42,0.179974510254,0.179978420353,0.179981771172,0.015
50,fv-muscl-minmod,400,229,3.42,3.4275,3.435,0.179981771172,0.179984636448,0.17998708111,0.015
50,fv-muscl-minmod,400,230,3.435,3.4425,3.45,0.17998708111,0.1799891622,0.179990929725,0.015
50,fv-muscl-minmod,400,231,3.45,3.4575,3.465,0.179990929725,0.179992427427,0.179993693478,0.015
50,fv-muscl-minmod,400,232,3.465,3.4725,3.48,0.179993693478,0.179994761113,0.179995659207,0.015
50,fv-muscl-minmod,400,233,3.48,3.4875,3.495,0.179995659207,0.179996412781,0.179997043468,0.015
50,fv-muscl-minmod,400,234,3.495,3.5025,3.51,0.179997043468,0.179997569925,0.179998008204,0.015
