severity,slice_label,z_cm,theta_rad,x_cm,y_cm,r_cm
50,upstream,1.951,0,0.179968948851,0,0.179968948851
50,upstream,1.951,0.0872664625997,0.179284112667,0.0156853274086,0.179968948851
50,upstream,1.951,0.174532925199,0.17723481613,0.0312512800046,0.179968948851
50,upstream,1.951,0.261799387799,0.173836655625,0.0465793914898,0.179968948851
50,upstream,1.951,0.349065850399,0.169115493206,0.0615530056802,0.179968948851
50,upstream,1.951,0.436332312999,0.163107259769,0.0760581643308,0.179968948851
50,upstream,1.951,0.523598775598,0.155857681597,0.0899844744256,0.179968948851
50,upstream,1.951,0.610865238198,0.14742193236,0.103225948336,0.179968948851
50,upstream,1.951,0.698131700798,0.137864213201,0.11568181045,0.179968948851
50,upstream,1.951,0.785398163397,0.127257264136,0.127257264136,0.179968948851
50,upstream,1.951,0.872664625997,0.11568181045,0.137864213201,0.179968948851
50,upstream,1.951,0.959931088597,0.103225948336,0.14742193236,0.179968948851
50,upstream,1.951,1.0471975512,0.0899844744256,0.155857681597,0.179968948851
50,upstream,1.951,1.1344640138,0.0760581643308,0.163107259769,0.179968948851
50,upstream,1.951,1.2217304764,0.0615530056802,0.169115493206,0.179968948851
50,upstream,1.951,1.308996939,0.0465793914898,0.173836655625,0.179968948851
50,upstream,1.951,1.3962634016,0.0312512800046,0.17723481613,0.179968948851
50,upstream,1.951,1.4835298642,0.0156853274086,0.179284112667,0.179968948851
50,upstream,1.951,1.57079632679,1.10199198578e-17,0.179968948851,0.179968948851
50,upstream,1.951,1.65806278939,-0.0156853274086,0.179284112667,0.179968948851
50,upstream,1.951,1.74532925199,-0.0312512800046,0.17723481613,0.179968948851
50,upstream,1.951,1.83259571459,-0.0465793914898,0.173836655625,0.179968948851
50,upstream,1.951,1.91986217719,-0.0615530056802,0.169115493206,0.179968948851
50,upstream,1.951,2.00712863979,-0.0760581643308,0.163107259769,0.179968948851
50,upstream,1.951,2.09439510239,-0.0899844744256,0.155857681597,0.179968948851
50,upstream,1.951,2.18166156499,-0.103225948336,0.14742193236,0.179968948851
50,upstream,1.951,2.26892802759,-0.11568181045,0.137864213201,0.179968948851
50,upstream,1.951,2.35619449019,-0.127257264136,0.127257264136,0.179968948851
50,upstream,1.951,2.44346095279,-0.137864213201,0.11568181045,0.179968948851
50,upstream,1.951,2.53072741539,-0.14742193236,0.103225948336,0.179968948851
50,upstream,1.951,2.61799387799,-0.155857681597,0.0899844744256,0.179968948851
50,upstream,1.951,2.70526034059,-0.163107259769,0.0760581643308,0.179968948851
50,upstream,1.951,2.79252680319,-0.169115493206,0.0615530056802,0.179968948851
50,upstream,1.951,2.87979326579,-0.173836655625,0.0465793914898,0.179968948851
50,upstream,1.951,2.96705972839,-0.17723481613,0.0312512800046,0.179968948851
50,upstream,1.951,3.05432619099,-0.179284112667,0.0156853274086,0.179968948851
50,upstream,1.951,3.14159265359,-0.179968948851,2.20398397156e-17,0.179968948851
50,upstream,1.951,3.22885911619,-0.179284112667,-0.0156853274086,0.179968948851
50,upstream,1.951,3.31612557879,-0.17723481613,-0.0312512800046,0.179968948851
50,upstream,1.951,3.40339204139,-0.173836655625,-0.0465793914898,0.179968948851
50,upstream,1.951,3.49065850399,-0.169115493206,-0.0615530056802,0.179968948851
50,upstream,1.951,3.57792496659,-0.163107259769,-0.0760581643308,0.179968948851
50,upstream,1.951,3.66519142919,-0.155857681597,-0.0899844744256,0.179968948851
50,upstream,1.951,3.75245789179,-0.14742193236,-0.103225948336,0.179968948851
50,upstream,1.951,3.83972435439,-0.137864213201,-0.11568181045,0.179968948851
50,upstream,1.951,3.92699081699,-0.127257264136,-0.127257264136,0.179968948851
50,upstream,1.951,4.01425727959,-0.11568181045,-0.137864213201,0.179968948851
50,upstream,1.951,4.10152374219,-0.103225948336,-0.14742193236,0.179968948851
50,upstream,1.951,4.18879020479,-0.0899844744256,-0.155857681597,0.179968948851
50,upstream,1.951,4.27605666739,-0.0760581643308,-0.163107259769,0.179968948851
50,upstream,1.951,4.36332312999,-0.0615530056802,-0.169115493206,0.179968948851
50,upstream,1.951,4.45058959259,-0.0465793914898,-0.173836655625,0.179968948851
50,upstream,1.951,4.53785605519,-0.0312512800046,-0.17723481613,0.179968948851
50,upstream,1.951,4.62512251778,-0.0156853274086,-0.179284112667,0.179968948851
50,upstream,1.951,4.71238898038,-3.30597595735e-17,-0.179968948851,0.179968948851
50,upstream,1.951,4.79965544298,0.0156853274086,-0.179284112667,0.179968948851
50,upstream,1.951,4.88692190558,0.0312512800046,-0.17723481613,0.179968948851
