severity,nx,requested_time_s,elapsed_time_s,z_cm,a_cm2,q_cm3_s,u_cm_s
23.0,100,0.0,0.0,4.83,0.0324,0.0,0.0
23.0,100,0.0,0.0,4.89,0.0324,0.0,0.0
23.0,100,0.0,0.0,4.95,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.01,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.069999999999999,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.13,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.1899999999999995,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.25,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.31,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.37,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.43,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.49,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.55,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.609999999999999,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.67,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.7299999999999995,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.79,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.85,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.91,0.0324,0.0,0.0
23.0,100,0.0,0.0,5.97,0.0324,0.0,0.0
23.0,100,0.001,0.001,0.03,0.03239999998508344,7.147789127439698e-9,2.2061077563982878e-7
23.0,100,0.001,0.001,0.09,0.032399999950186976,4.747893640835307e-8,1.4653992741157112e-6
23.0,100,0.001,0.001,0.15,0.032399999831494615,1.7224709977551098e-7,5.316268539238606e-6
23.0,100,0.001,0.001,0.21,0.032399999424841,5.913168282537276e-7,1.8250519714527104e-5
23.0,100,0.001,0.001,0.27,0.03239999810313304,1.9503130527437145e-6,6.019485083102895e-5
23.0,100,0.001,0.001,0.32999999999999996,0.03239999397421655,6.195013507556913e-6,0.000191204156163943
23.0,100,0.001,0.001,0.39,0.03239998159143042,1.8924908240293907e-5,0.0005841024380488975
23.0,100,0.001,0.001,0.44999999999999996,0.03239994599882987,5.55148481988549e-5,0.001713424096474106
23.0,100,0.001,0.001,0.51,0.032399848137735617,0.0001561165465865209,0.0048184345162005345
23.0,100,0.001,0.001,0.57,0.03239959131832477,0.0004201219030550909,0.012966888962499834
23.0,100,0.001,0.001,0.63,0.03239894957891885,0.0010797901841857196,0.033327938041803395
23.0,100,0.001,0.001,0.69,0.0323974269045286,0.002644880345347005,0.08163859287779723
23.0,100,0.001,0.001,0.75,0.032394007124037,0.006159360974333734,0.19013890287637078
23.0,100,0.001,0.001,0.8099999999999999,0.03238676339265645,0.01360130579608774,0.41996496010378653
23.0,100,0.001,0.001,0.87,0.03237234504773471,0.02840502178740267,0.8774471464924146
23.0,100,0.001,0.001,0.9299999999999999,0.03234549575888487,0.055940514995031464,1.7294684679447327
23.0,100,0.001,0.001,0.99,0.03231046569292422,0.09181433579006536,2.841628364711936
23.0,100,0.001,0.001,1.05,0.03228498247492317,0.11787099301984238,3.650954220321995
23.0,100,0.001,0.001,1.1099999999999999,0.032271470860121866,0.13160945745242839,4.0781982954194795
23.0,100,0.001,0.001,1.17,0.032267450475404864,0.13571908524983942,4.206067825324106
23.0,100,0.001,0.001,1.23,0.03226930514881376,0.13376656490627958,4.145319035826742
23.0,100,0.001,0.001,1.29,0.032285055543406334,0.11761159330203375,3.642911288906049
23.0,100,0.001,0.001,1.3499999999999999,0.03232422188910132,0.0774915237245508,2.3973206219908554
23.0,100,0.001,0.001,1.41,0.032367366392904835,0.03367198054269784,1.0403064659001415
23.0,100,0.001,0.001,1.47,0.03239650184735792,0.001581507388200942,0.048817227108423775
23.0,100,0.001,0.001,1.53,0.032418737110483715,-0.016443537729855896,-0.5072232664034995
23.0,100,0.001,0.001,1.5899999999999999,0.03242805737777981,-0.03237870919665725,-0.998478225798491
23.0,100,0.001,0.001,1.65,0.0324379890355094,-0.038025737164658104,-1.172259387689905
23.0,100,0.001,0.001,1.71,0.03244235292745307,-0.04355213032385722,-1.3424467214584468
23.0,100,0.001,0.001,1.77,0.03244525343709844,-0.04680857058771279,-1.4426939422267262
23.0,100,0.001,0.001,1.8299999999999998,0.032446716544445475,-0.04925575772036209,-1.5180506062267227
23.0,100,0.001,0.001,1.89,0.032448629675429004,-0.04993918746934922,-1.539023002477191
23.0,100,0.001,0.001,1.95,0.032443986463642466,-0.06003397258411441,-1.8503882884857557
23.0,100,0.001,0.001,2.01,0.032261080878058214,-0.20423208890667321,-6.330602799039444
23.0,100,0.001,0.001,2.07,0.030780124282733922,-0.508655535128358,-16.525454233259474
23.0,100,0.001,0.001,2.13,0.027500222947999326,-0.5145776367455445,-18.71176236347497
23.0,100,0.001,0.001,2.19,0.02356858305457221,-0.445271918433348,-18.892604506700163
23.0,100,0.001,0.001,2.25,0.020806941869801157,-0.31403243901129674,-15.092676327753772
23.0,100,0.001,0.001,2.31,0.01956785554456572,-0.14747966322998493,-7.5368331953442995
23.0,100,0.001,0.001,2.37,0.01925083061918954,-0.022372598899709273,-1.162162783636354
23.0,100,0.001,0.001,2.4299999999999997,0.01919885465569677,0.007016216811181617,0.36544975921778405
23.0,100,0.001,0.001,2.4899999999999998,0.01919224166253141,0.007342715240489528,0.3825876815017679
23.0,100,0.001,0.001,2.55,0.01923943431333123,0.03775218090230798,1.9622292572369997
23.0,100,0.001,0.001,2.61,0.01951940367726923,0.0808456160563784,4.141807679838338
23.0,100,0.001,0.001,2.67,0.020232561231352312,0.1310114320380269,6.475276685930005
23.0,100,0.001,0.001,2.73,0.021514920764123095,0.15761830461918983,7.325999772307971
23.0,100,0.001,0.001,2.79,0.02332853095049855,0.15777123868061282,6.763016454631967
23.0,100,0.001,0.001,2.85,0.02547625838339042,0.12999645022379236,5.102650800109063
23.0,100,0.001,0.001,2.9099999999999997,0.027603743003832625,0.21943166162006,7.949344463524136
23.0,100,0.001,0.001,2.9699999999999998,0.029467637389312188,0.285418578309565,9.685831766515674
23.0,100,0.001,0.001,3.03,0.030816891545795807,0.2817599212322703,9.143035105067545
23.0,100,0.001,0.001,3.09,0.03168190158120845,0.255016438609832,8.049278164574893
23.0,100,0.001,0.001,3.15,0.03215309315620394,0.21552507104991045,6.703089808587355
23.0,100,0.001,0.001,3.21,0.032363381619517136,0.16029449544255028,4.952958789259609
23.0,100,0.001,0.001,3.27,0.03243645526663933,0.11285859481585862,3.4793751008894276
23.0,100,0.001,0.001,3.33,0.032440391030876044,0.06228838864360072,1.9200874793499256
23.0,100,0.001,0.001,3.3899999999999997,0.032425398572838306,0.031565237312266604,0.9734726079422126
23.0,100,0.001,0.001,3.4499999999999997,0.032402899446750226,0.004731083274943718,0.14600802260669948
23.0,100,0.001,0.001,3.51,0.03237652430886541,-0.023493893270776917,-0.7256459355133363
23.0,100,0.001,0.001,3.57,0.03235609597955689,-0.04487119131401663,-1.3867925024813557
23.0,100,0.001,0.001,3.63,0.03234617524068761,-0.05514179692040938,-1.704739324204477
23.0,100,0.001,0.001,3.69,0.0323433619715011,-0.058042799939705715,-1.7945815277598325
23.0,100,0.001,0.001,3.75,0.032343440526147536,-0.05795387260832357,-1.7918276987716162
23.0,100,0.001,0.001,3.81,0.032345094356005966,-0.05632442668285931,-1.7413591706651108
23.0,100,0.001,0.001,3.8699999999999997,0.03234873515963368,-0.05259705262940877,-1.6259384600311029
23.0,100,0.001,0.001,3.9299999999999997,0.032353992767340606,-0.047173147993803455,-1.4580317283566278
23.0,100,0.001,0.001,3.9899999999999998,0.032360174122036296,-0.04090642526074855,-1.264097810675639
23.0,100,0.001,0.001,4.05,0.032366636877427614,-0.03423727214168688,-1.0577951694933074
23.0,100,0.001,0.001,4.109999999999999,0.0323734391312992,-0.027281013302563342,-0.8426974098092529
23.0,100,0.001,0.001,4.17,0.032380856925743474,-0.019663968504085905,-0.6072714057314719
23.0,100,0.001,0.001,4.2299999999999995,0.03238772625149136,-0.012610585860271827,-0.3893631112709292
23.0,100,0.001,0.001,4.29,0.03239265164061563,-0.007551294463928299,-0.23311751528424068
23.0,100,0.001,0.001,4.35,0.032395855681381,-0.004259269744267957,-0.13147575992925242
23.0,100,0.001,0.001,4.41,0.032397787620206626,-0.0022739252845605904,-0.0701876718008465
23.0,100,0.001,0.001,4.47,0.03239887827949068,-0.0011529868573109754,-0.035587246180706376
23.0,100,0.001,0.001,4.53,0.03239945838610153,-0.0005567310032506159,-0.017183342900862753
23.0,100,0.001,0.001,4.59,0.032399750393167386,-0.0002565804093555673,-0.007919209445813391
23.0,100,0.001,0.001,4.6499999999999995,0.032399889986120124,-0.00011308973817506365,-0.003490435869489386
23.0,100,0.001,0.001,4.71,0.032399953544531485,-4.775508071749448e-5,-0.0014739243576957122
23.0,100,0.001,0.001,4.77,0.03239998117538916,-1.9351502835159532e-5,-0.0005972689530405906
23.0,100,0.001,0.001,4.83,0.03239999266914607,-7.536131672962355e-6,-0.0002325967092004585
23.0,100,0.001,0.001,4.89,0.03239999725268434,-2.824276119393064e-6,-8.716902342203356e-5
