study_kind,nx,dx,dt,tfinal,area_l1_error,area_l2_error,area_linf_error,area_l2_observed_order,flow_l1_error,flow_l2_error,flow_linf_error,flow_l2_observed_order,status,error_message
spatial,50,0.12,2.5e-6,0.0002,4.15416591725698e-7,9.503221773478321e-7,3.1380949966700045e-6,1.5667427054628185,0.0010604540166048075,0.0035101789114118545,0.016930500790298217,1.2550319379862624,ok,
spatial,100,0.06,2.5e-6,0.0002,1.1720488607654123e-7,3.2079996670263283e-7,1.3679322481210954e-6,1.6129963825309432,0.00031724924594105585,0.0014707098255426904,0.010137901552135585,1.4662505368006202,ok,
spatial,200,0.03,2.5e-6,0.0002,3.0658861489805956e-8,1.0487549423566472e-7,5.829657861652904e-7,1.6386516697782854,8.19524795147579e-5,0.0005322817807413738,0.005214222307709396,1.5023179233391073,ok,
spatial,400,0.015,2.5e-6,0.0002,7.732286586362159e-9,3.3681445010506254e-8,2.410297465713085e-7,NaN,2.0571275638777895e-5,0.00018788791332305423,0.002612241024324007,NaN,ok,
temporal,400,0.015,2.0e-5,0.0002,7.740849484669243e-9,3.369192259637909e-8,2.4062455952073014e-7,0.0,2.0584753990492242e-5,0.00018788984049752981,0.002612202398130131,0.0,ok,
temporal,400,0.015,1.0e-5,0.0002,7.740849484669243e-9,3.369192259637909e-8,2.4062455952073014e-7,0.00026718553491366693,2.0584753990492242e-5,0.00018788984049752981,0.002612202398130131,-7.372192379054098e-6,ok,
temporal,400,0.015,5.0e-6,0.0002,7.735857059099072e-9,3.3685683467125994e-8,2.4075777627780015e-7,0.00018153661860240394,2.057599252872357e-5,0.00018789080061976636,0.0026122547300275714,2.216990209247177e-5,ok,
temporal,400,0.015,2.5e-6,0.0002,7.732286586362159e-9,3.3681445010506254e-8,2.410297465713085e-7,NaN,2.0571275638777895e-5,0.00018788791332305423,0.002612241024324007,NaN,ok,
