case_label,case,severity,nx,dt_cap_s,accepted_dt_min_s,accepted_dt_max_s,realized_cfl_max,mean_velocity_discrepancy_cm_s,rms_velocity_discrepancy_cm_s,max_velocity_discrepancy_cm_s,relative_rms_velocity_discrepancy,status,source_csv
77,C23 (22.56%),22.555555555555554,400,5.0000000000000004e-06,4.9999976858838835e-06,5.0000000000000004e-06,0.36568812632307468,0.46328714837282187,0.56695810772844601,1.971865458735941,0.023677760731404689,ok,tmp/simulations/output/additional-evidence/compare-dt-5e-6/comparison_summary.csv
77,C23 (22.56%),22.555555555555554,400,2.0000000000000002e-05,1.2857765170348756e-06,6.564239240215795e-06,0.45000000000000007,0.46328714924666659,0.56695810986985939,1.9718654579638866,0.02367776082083612,ok,tmp/simulations/output/additional-evidence/compare-dt-2e-5/comparison_summary.csv
60,C40,40,400,5.0000000000000004e-06,4.9999976858838835e-06,5.0000000000000004e-06,0.36727878935054592,0.96603526182663246,1.8683652080354891,9.9225709656738275,0.068808489593723307,ok,tmp/simulations/output/additional-evidence/compare-dt-5e-6/comparison_summary.csv
60,C40,40,400,2.0000000000000002e-05,6.1567359221914586e-07,6.564239240215795e-06,0.45000000000000007,0.9660352604411141,1.8683652044750261,9.9225709690965189,0.068808489462597933,ok,tmp/simulations/output/additional-evidence/compare-dt-2e-5/comparison_summary.csv
