z uax1dseverity23 uax3dseverity23 discseverity23 flow1dseverity23 flow3dseverity23 flowdiscseverity23 areaseverity23 intersectionsseverity23 uax1dseverity40 uax3dseverity40 discseverity40 flow1dseverity40 flow3dseverity40 flowdiscseverity40 areaseverity40 intersectionsseverity40
0.0 10.914838572 22.3153180528 11.4004794808 1.12535874893 2.26108687856 1.13572812964 0.101324429848 876.0 10.910502007 22.3153179563 11.4048159493 1.12550813319 2.2610868784 1.13557874521 0.101324430278 876.0
0.0301507537688 22.4491609416 22.0218427219 0.427318219716 2.28866666259 2.23660077453 0.0520658880527 0.101562834808 2517.0 22.4370825042 22.008168342 0.42891416226 2.28866908228 2.23722838928 0.0514406929942 0.101654456406 2449.0
0.0603015075377 22.5446437236 22.0406911373 0.503952586297 2.29817279011 2.24061228029 0.0575605098272 0.101657986418 2003.0 22.5324524798 22.0174475129 0.515004966857 2.29816929273 2.24068323589 0.0574860568413 0.101768528553 2039.0
0.0904522613065 22.544783884 22.0376260198 0.507157864187 2.29817248679 2.24010570658 0.0580667802083 0.101649138822 1999.0 22.5326086745 21.9988395838 0.533769090681 2.29817065811 2.2386347591 0.059535899009 0.101761492945 2059.0
0.120603015075 22.5449166933 22.077721799 0.467194894261 2.29817145309 2.24307603565 0.0550954174355 0.101599071502 2029.0 22.5327555608 22.0590297099 0.473725850919 2.29817109588 2.24360063166 0.0545704642154 0.101708944644 2053.0
0.150753768844 22.5450494446 22.0858491622 0.459200282418 2.29817041078 2.24233191559 0.0558384951892 0.101527991934 2109.0 22.5329021282 22.0605697717 0.472332356423 2.29817150255 2.24229026168 0.0558812408637 0.101642445544 2137.0
0.180904522613 22.5451824413 22.0830265116 0.462155929743 2.2981693914 2.24402981958 0.0541395718205 0.10161785652 2153.0 22.533048333 22.0555595121 0.477488820883 2.29817187367 2.24371000792 0.0544618657511 0.101729906543 2107.0
0.211055276382 22.5453158 22.084288346 0.461027453944 2.29816840694 2.24497894601 0.0531894609352 0.101655027811 2107.0 22.5331941559 22.0425282098 0.490665946108 2.29817220721 2.24322171231 0.0549504948984 0.101767895723 1973.0
0.241206030151 22.5454496024 22.0992587562 0.446190846247 2.29816746573 2.24638903632 0.0517784294062 0.101649972115 2165.0 22.5333395803 22.0521793162 0.481160264093 2.29817250142 2.24411890047 0.0540536009577 0.101764041925 2067.0
0.27135678392 22.5455839299 22.1147029734 0.430880956472 2.298166576 2.24615666397 0.0520099120288 0.101568475356 2221.0 22.5334845785 22.0597146116 0.473769966841 2.29817275341 2.24305398683 0.0551187665747 0.101681006592 2107.0
0.301507537688 22.5457188204 22.1344840494 0.411234771058 2.29816574168 2.24703254318 0.0511331984931 0.10151727676 2101.0 22.5336291164 22.0727744719 0.460854644503 2.29817295968 2.2432668885 0.0549060711825 0.101630490148 2095.0
0.331658291457 22.5458542438 22.1043206856 0.44153355822 2.29816495987 2.24610216101 0.0520627988602 0.101613715841 2059.0 22.533773144 22.0814815216 0.452291622467 2.29817311513 2.24628158893 0.0518915262043 0.101726941951 2153.0
0.361809045226 22.5459901572 22.0798274856 0.466162671603 2.29816422639 2.24457527546 0.0535889509356 0.101657283189 2061.0 22.5339166075 22.0791042939 0.45481231366 2.29817321427 2.24700452817 0.0511686861025 0.101770637896 2201.0
0.391959798995 22.5461265907 22.1085757529 0.437550837785 2.2981635444 2.24688684073 0.0512767036616 0.10162965113 2199.0 22.5340595056 22.0713913178 0.462668187807 2.29817325687 2.24560948864 0.0525637682292 0.101742996457 2153.0
0.422110552764 22.5462636582 22.1190617133 0.427201944858 2.29816292536 2.24653883989 0.0516240854784 0.101565738593 2243.0 22.5342018201 22.0787439264 0.45545789363 2.29817324091 2.24494296575 0.0532302751533 0.101678925814 2153.0
0.452261306533 22.5464014716 22.1128961765 0.433505295064 2.29816238059 2.24563434481 0.0525280357723 0.101553153729 2131.0 22.5343434288 22.0798366618 0.454506767011 2.29817315433 2.24477563434 0.0533975199834 0.101666315232 2159.0
0.482412060302 22.5465400563 22.0998420371 0.446698019174 2.2981619127 2.24594353223 0.0522183804737 0.101627130568 2074.0 22.534484362 22.0624411463 0.472043215783 2.29817299995 2.24464062456 0.0535323753871 0.101740356368 2108.0
0.51256281407 22.5466793695 22.0981615025 0.448517867004 2.29816151754 2.24631187872 0.0518496388123 0.101651527819 2115.0 22.5346246279 22.0651480892 0.469476538739 2.29817277849 2.24545797363 0.0527148048673 0.101764917441 2075.0
0.542713567839 22.5468194007 22.0927200557 0.454099344998 2.29816119413 2.2453057995 0.0528553946219 0.101631025688 2089.0 22.5347642156 22.0765077668 0.458256448871 2.29817248879 2.24616081471 0.0520116740764 0.101744389939 2193.0
0.572864321608 22.5469602169 22.1039945805 0.442965636406 2.29816094925 2.24417977751 0.0539811717403 0.101528245012 2163.0 22.5349031159 22.0739955358 0.460907580086 2.29817212982 2.24360932462 0.0545628051952 0.10164038137 2233.0
0.603015075377 22.5471018861 22.1174317801 0.429670105921 2.29816078978 2.24590984894 0.0522509408339 0.101544784732 2171.0 22.5350413258 22.107406553 0.427634772781 2.29817170124 2.24739460367 0.0507770975646 0.101657994043 2203.0
0.633165829146 22.5472443885 22.1025777395 0.444666649013 2.29816071384 2.24617137215 0.0519893416919 0.101624860169 2193.0 22.5351788509 22.0709280597 0.464250791206 2.29817120354 2.24544908641 0.0527221171337 0.101737864413 2193.0
0.663316582915 22.5473876063 22.1103884609 0.436999145371 2.29816070983 2.24749917836 0.050661531473 0.101649013645 2205.0 22.5353157039 22.0719725012 0.463343202675 2.29817063794 2.24609954051 0.0520710974348 0.101762519883 2125.0
0.693467336683 22.5475317039 22.0947852048 0.452746499072 2.29816079409 2.24493988267 0.0532209114173 0.101604965238 2175.0 22.5354519024 22.0866682857 0.448783616722 2.29817000616 2.24662280906 0.0515471971015 0.101718501858 2107.0
0.723618090452 22.5476766341 22.1131559162 0.434520717842 2.29816096198 2.2451253194 0.0530356425792 0.101528941771 2151.0 22.5355874694 22.1037897664 0.431797703017 2.29816931044 2.24664773907 0.0515215713693 0.101640839097 2127.0
0.753768844221 22.5478224073 22.1203198292 0.42750257807 2.29816121466 2.24689758697 0.0512636276873 0.101576179925 2139.0 22.5357224329 22.0923541419 0.443368290979 2.29816855354 2.24657630136 0.0515922521851 0.101690217662 2183.0
0.78391959799 22.547968907 22.1120526467 0.435916260389 2.29816154055 2.2473326889 0.0508288516539 0.101633834037 2065.0 22.5358568269 22.0726321881 0.463224638844 2.29816773885 2.24583116795 0.0523365708913 0.101747319886 2189.0
0.814070351759 22.5481162385 22.1078423839 0.44027385454 2.29816195017 2.24712590272 0.051036047454 0.10164383587 2087.0 22.5359906913 22.064165975 0.471824716217 2.29816687029 2.24518889171 0.0529779785865 0.101757251747 2185.0
0.844221105528 22.5482643601 22.1161469705 0.432117389586 2.29816243939 2.24717448069 0.0509879587024 0.101607865226 2087.0 22.5361240687 22.0679383334 0.468185735337 2.29816595215 2.24477614387 0.0533898082806 0.101721153556 2151.0
0.874371859296 22.5484132665 22.1373160293 0.411097237274 2.29816300771 2.24670224714 0.0514607605668 0.101489369541 2205.0 22.5362570063 22.0840820001 0.452175006224 2.2981649891 2.24377412031 0.0543908687881 0.101601421345 2257.0
0.904522613065 22.5485629215 22.104767757 0.443795164516 2.29816365153 2.24512534036 0.0530383111662 0.101567470196 2165.0 22.536389555 22.0835782428 0.452811312143 2.29816398626 2.24547519021 0.052688796046 0.101680767742 2155.0
0.934673366834 22.5487133357 22.1090983839 0.439614951787 2.29816437192 2.24697848766 0.0511858842589 0.101631393947 2187.0 22.5365217635 22.0672005284 0.469321235052 2.2981629485 2.24522465017 0.0529382983346 0.101744879115 2143.0
0.964824120603 22.5488643918 22.1215222663 0.427342125544 2.29816515724 2.24834176019 0.0498233970488 0.10163594228 2173.0 22.5366536899 22.0889318454 0.447721844537 2.29816188166 2.24752358509 0.0506382965684 0.101748857791 2083.0
0.994974874372 22.5490161717 22.1187091824 0.430306989318 2.29816601564 2.2467180952 0.0514479204454 0.1015754616 2109.0 22.5367853975 22.0884312411 0.44835415631 2.29816079206 2.24613880084 0.0520219912164 0.101688471052 2161.0
1.02512562814 22.5491685564 22.1281649296 0.421003626771 2.29816693525 2.24577843837 0.0523884968768 0.10148959236 2137.0 22.5369169479 22.1081741547 0.428742793182 2.2981596859 2.24624372856 0.051915957346 0.101602407907 2214.0
