z u1dC23 u3dC23 discC23 flow1dC23 flow3dC23 flowdiscC23 areaC23 intersectionsC23 u1dC40 u3dC40 discC40 flow1dC40 flow3dC40 flowdiscC40 areaC40 intersectionsC40
0.0 22.4635691484 22.3153180528 0.148251095656 2.29005684439 2.26108687856 0.0289699658273 0.101324429848 876.0 22.4461149246 22.3153179563 0.130796968285 2.2900572762 2.2610868784 0.0289703978003 0.101324430278 876.0
0.0301507537688 22.4652673498 22.0218427219 0.443424627944 2.29021903058 2.23660077453 0.0536182560504 0.101562834808 2517.0 22.4478189721 22.008168342 0.43965063013 2.29022021079 2.23722838928 0.0529918215099 0.101654456406 2449.0
0.0603015075377 22.4654231866 22.0406911373 0.424732049328 2.29022042098 2.24061228029 0.0496081406882 0.101657986418 2003.0 22.4479841789 22.0174475129 0.430536665917 2.29022259836 2.24068323589 0.0495393624729 0.101768528553 2039.0
0.0904522613065 22.4655595546 22.0376260198 0.427933534759 2.2902198572 2.24010570658 0.0501141506186 0.101649138822 1999.0 22.4481301343 21.9988395838 0.449290550474 2.29022305563 2.2386347591 0.0515882965307 0.101761492945 2059.0
0.120603015075 22.4656959228 22.077721799 0.387974123758 2.29021929233 2.24307603565 0.047143256674 0.101599071502 2029.0 22.4482758778 22.0590297099 0.389246167901 2.29022349274 2.24360063166 0.0466228610812 0.101708944644 2053.0
0.150753768844 22.4658324661 22.0858491622 0.379983303902 2.29021874444 2.24233191559 0.0478868288557 0.101527991934 2109.0 22.4484213514 22.0605697717 0.387851579615 2.29022390378 2.24229026168 0.0479336420969 0.101642445544 2137.0
0.180904522613 22.4659692276 22.0830265116 0.382942716011 2.29021821797 2.24402981958 0.0461883983876 0.10161785652 2153.0 22.4485664712 22.0555595121 0.393006959137 2.29022428026 2.24371000792 0.0465142723444 0.101729906543 2107.0
0.211055276382 22.4661062407 22.084288346 0.381817894707 2.29021771629 2.24497894601 0.0452387702864 0.101655027811 2107.0 22.4487111648 22.0425282098 0.406182955077 2.29022461482 2.24322171231 0.0470029025088 0.101767895723 1973.0
0.241206030151 22.4662435416 22.0992587562 0.366984785457 2.29021724308 2.24638903632 0.0438282067594 0.101649972115 2165.0 22.4488553947 22.0521793162 0.396676078553 2.29022490362 2.24411890047 0.0461060031523 0.101764041925 2067.0
0.27135678392 22.4663811649 22.1147029734 0.351678191483 2.29021680183 2.24615666397 0.0440601378636 0.101568475356 2221.0 22.4489991472 22.0597146116 0.389284535628 2.29022514517 2.24305398683 0.0471711583374 0.101681006592 2107.0
0.301507537688 22.4665191427 22.1344840494 0.332035093303 2.29021639579 2.24703254318 0.0431838526065 0.10151727676 2101.0 22.4491424029 22.0727744719 0.376367930951 2.29022533742 2.2432668885 0.0469584489208 0.101630490148 2095.0
0.331658291457 22.4666575057 22.1043206856 0.362336820074 2.29021602805 2.24610216101 0.0441138670435 0.101613715841 2059.0 22.4492851253 22.0814815216 0.367803603757 2.29022547662 2.24628158893 0.043943887686 0.101726941951 2153.0
0.361809045226 22.4667962819 22.0798274856 0.386968796301 2.29021570142 2.24457527546 0.045640425961 0.101657283189 2061.0 22.4494272891 22.0791042939 0.370322995235 2.29022556009 2.24700452817 0.043221031921 0.101770637896 2201.0
0.391959798995 22.4669354931 22.1085757529 0.358359740192 2.2902154181 2.24688684073 0.0433285773613 0.10162965113 2199.0 22.4495689328 22.0713913178 0.378177614987 2.29022559159 2.24560948864 0.0446161029525 0.101742996457 2153.0
0.422110552764 22.4670751494 22.1190617133 0.348013436113 2.29021517911 2.24653883989 0.0436763392203 0.101565738593 2243.0 22.4497100294 22.0787439264 0.370966102949 2.29022556823 2.24494296575 0.0452826024754 0.101678925814 2153.0
0.452261306533 22.4672152626 22.1128961765 0.354319086102 2.29021498562 2.24563434481 0.0445806408086 0.101553153729 2131.0 22.4498504488 22.0798366618 0.370013786987 2.29022547712 2.24477563434 0.0454498427832 0.101666315232 2159.0
0.482412060302 22.4673558853 22.0998420371 0.367513848223 2.29021484291 2.24594353223 0.0442713106805 0.101627130568 2074.0 22.449990193 22.0624411463 0.387549046753 2.29022531831 2.24464062456 0.0455846937499 0.101740356368 2108.0
0.51256281407 22.4674970598 22.0981615025 0.369335557268 2.29021475519 2.24631187872 0.0439028764709 0.101651527819 2115.0 22.4501292597 22.0651480892 0.384981170498 2.29022509151 2.24545797363 0.0447671178807 0.101764917441 2075.0
0.542713567839 22.4676387138 22.0927200557 0.374918658082 2.29021471529 2.2453057995 0.0449089157848 0.101631025688 2089.0 22.4502676477 22.0765077668 0.3737598809 2.29022479654 2.24616081471 0.044063981827 0.101744389939 2193.0
0.572864321608 22.4677807174 22.1039945805 0.363786136868 2.29021471024 2.24417977751 0.0460349327239 0.101528245012 2163.0 22.4504053647 22.0739955358 0.376409828968 2.29022443412 2.24360932462 0.0466151094949 0.10164038137 2233.0
0.603015075377 22.4679232401 22.1174317801 0.350491459942 2.29021475686 2.24590984894 0.0443049079176 0.101544784732 2171.0 22.4505424185 22.107406553 0.343135865535 2.29022400494 2.24739460367 0.0428294012725 0.101657994043 2203.0
0.633165829146 22.468066345 22.1025777395 0.365488605516 2.29021486146 2.24617137215 0.0440434893066 0.101624860169 2193.0 22.4506788175 22.0709280597 0.379750757781 2.2902235098 2.24544908641 0.0447744233973 0.101737864413 2193.0
