case spatial_method dt_min dt_max cfl_max min_a min_Aphys volume_defect positivity_count positivity_correction area_flux_balance rhs_area_max rhs_flow_max completed_time target_time cross_model_time_offset
C23(22.56\%) fv-wb-geometry-rest-muscl-minmod 6.15054881094e-6 6.56423924022e-6 0.45 0.0194399781078 0.0610724924095 0.000134066245917 0 0.0 2.05701660509e-5 1.38822407495e-5 0.0172571423573 0.9995 0.9995 5.4733995114e-14
40\% fv-wb-geometry-rest-muscl-minmod 2.45685913614e-7 6.56423924022e-6 0.45 0.0116446782896 0.036582835768 0.000156784688554 0 0.0 -1.13347900735e-5 1.18509210001e-5 0.0195514113736 0.9995 0.9995 5.4733995114e-14
