case sections eps_min_percent eps_median_percent eps_mean_percent eps_max_percent area3d_min_cm2 area3d_max_cm2 aref_min_cm2 aref_max_cm2
C23(22.56\%) 200 0.0122797465344 0.277479579736 0.329976601312 2.61721074134 0.0607147584721 0.101657986418 0.0610485731464 0.101787601976
40\% 200 0.00512781586109 0.290550576419 0.396869486086 4.46100208074 0.036242877832 0.101770637896 0.0366435555736 0.101787601976
