status,data_root,case_label,severity,source_xdmf,output_csv,node_count,xdmf_time_s,target_time_s,time_error_s,min_uz_cm_s,max_uz_cm_s,max_speed_cm_s,note
written,simulations/data/3d/canic_case3,77,23,simulations/data/3d/canic_case3/77/velocity.xdmf,figures/static/static/data/stenosis-geometry/resolved_velocity_nodes_case77_sev23.csv,22691,0.9995,1,0.000500000000055,-1.02816549716,61.583417811,61.5834182356,full node-centered resolved 3D velocity field
written,simulations/data/3d/canic_case3,60,40,simulations/data/3d/canic_case3/60/velocity.xdmf,figures/static/static/data/stenosis-geometry/resolved_velocity_nodes_case60_sev40.csv,21975,0.9995,1,0.000500000000055,-1.57626801779,91.5849220086,91.5849432179,full node-centered resolved 3D velocity field
