case_label,severity,z_cm,theta_rad,x_cm,y_cm,r_cm,node_count,source
77,23,0.0165745856354,4.14515697349,-0.0967695763706,-0.151897808333,0.180103567669,4,node-envelope-not-wall-surface
77,23,0.0165745856354,4.23242343609,-0.0831147502987,-0.159661949811,0.179999999819,1,node-envelope-not-wall-surface
77,23,0.0165745856354,4.31968989869,-0.0689226280266,-0.166393943336,0.180103506443,3,node-envelope-not-wall-surface
77,23,0.0165745856354,4.40695636129,-0.0541270439327,-0.171669051204,0.180000000073,6,node-envelope-not-wall-surface
77,23,0.0165745856354,4.49422282389,-0.0389816976102,-0.175835074897,0.180104265115,4,node-envelope-not-wall-surface
77,23,0.0165745856354,4.58148928649,-0.023494714601,-0.178460075058,0.18000000001,2,node-envelope-not-wall-surface
77,23,0.0165745856354,4.66875574908,-0.0078560497987,-0.179933122726,0.180104542343,3,node-envelope-not-wall-surface
77,23,0.0165745856354,4.75602221168,0.00785604168326,-0.179932936852,0.180104356291,4,node-envelope-not-wall-surface
77,23,0.0165745856354,4.84328867428,0.0234947146149,-0.178460075164,0.180000000117,4,node-envelope-not-wall-surface
77,23,0.0165745856354,4.93055513688,0.0389815327326,-0.175834331183,0.180103503344,5,node-envelope-not-wall-surface
77,23,0.0165745856354,5.01782159948,0.0541270438804,-0.171669051038,0.179999999899,3,node-envelope-not-wall-surface
77,23,0.0165745856354,5.10508806208,0.0689224888817,-0.166393607411,0.18010314284,3,node-envelope-not-wall-surface
77,23,0.0165745856354,5.19235452468,0.0831147502941,-0.159661949803,0.179999999809,1,node-envelope-not-wall-surface
77,23,0.0165745856354,5.27962098728,0.0967691050169,-0.151897068456,0.180102690405,3,node-envelope-not-wall-surface
77,23,0.0165745856354,5.36688744988,0.109577057123,-0.142803601124,0.179999999838,6,node-envelope-not-wall-surface
77,23,0.0165745856354,5.45415391248,0.121675802413,-0.132785837548,0.180102969287,3,node-envelope-not-wall-surface
77,23,0.0165745856354,5.54142037508,0.132709920766,-0.121606237499,0.18000000019,4,node-envelope-not-wall-surface
77,23,0.0165745856354,5.62868683768,0.142885229217,-0.109639692562,0.180102889798,3,node-envelope-not-wall-surface
77,23,0.0165745856354,5.71595330028,0.151810460824,-0.0967139298707,0.180000000685,3,node-envelope-not-wall-surface
77,23,0.0165745856354,5.80321976288,0.159752925264,-0.0831621091217,0.180102563902,5,node-envelope-not-wall-surface
77,23,0.0165745856354,5.89048622548,0.166298315721,-0.0688830177715,0.179999999858,1,node-envelope-not-wall-surface
77,23,0.0165745856354,5.97775268808,0.17176703901,-0.054157939369,0.180102743141,4,node-envelope-not-wall-surface
77,23,0.0165745856354,6.06501915068,0.175733281917,-0.0389591306498,0.180000000651,2,node-envelope-not-wall-surface
77,23,0.0165745856354,6.15228561328,0.178561732843,-0.0235080981023,0.180102534996,4,node-envelope-not-wall-surface
77,23,0.0165745856354,6.23955207588,0.179931264651,-0.00785596867338,0.180102682497,5,node-envelope-not-wall-surface
77,23,0.0497237569061,0.0436332312999,0.179964201048,0.00785740670753,0.180135650272,2,node-envelope-not-wall-surface
77,23,0.0497237569061,0.1308996939,0.101797548206,0.0134019014695,0.102675955236,1,node-envelope-not-wall-surface
77,23,0.0497237569061,0.218166156499,0.175865886247,0.0389885283218,0.180135824549,2,node-envelope-not-wall-surface
77,23,0.0497237569061,0.392699081699,0.16642398033,0.0689350697567,0.180136018251,3,node-envelope-not-wall-surface
77,23,0.0497237569061,0.479965544298,0.0695812722065,0.0362217176462,0.0784446701256,2,node-envelope-not-wall-surface
77,23,0.0497237569061,0.567232006898,0.15192502475,0.096786915141,0.180135837878,3,node-envelope-not-wall-surface
77,23,0.0497237569061,0.654498469498,0.112482734881,0.0863110381557,0.14178138437,2,node-envelope-not-wall-surface
77,23,0.0497237569061,0.741764932098,0.132810038416,0.121697978423,0.180135793934,1,node-envelope-not-wall-surface
77,23,0.0497237569061,0.829031394697,0.100994620348,0.110216287748,0.149490947633,2,node-envelope-not-wall-surface
77,23,0.0497237569061,0.916297857297,0.109659662661,0.142911254757,0.180135694273,2,node-envelope-not-wall-surface
77,23,0.0497237569061,1.0035643199,0.0455763782813,0.0715405836454,0.0848248864753,2,node-envelope-not-wall-surface
77,23,0.0497237569061,1.0908307825,0.0831775186805,0.159782526751,0.180135936084,2,node-envelope-not-wall-surface
77,23,0.0497237569061,1.2653637077,0.0541677848277,0.171798264815,0.180135484307,3,node-envelope-not-wall-surface
77,23,0.0497237569061,1.3526301703,0.0389891425055,0.17586865665,0.180138662217,1,node-envelope-not-wall-surface
77,23,0.0497237569061,1.4398966329,0.0235130809742,0.178599581513,0.180140710261,4,node-envelope-not-wall-surface
77,23,0.0497237569061,1.5271630955,0.00785758690291,0.179968328201,0.180139781357,2,node-envelope-not-wall-surface
77,23,0.0497237569061,1.61442955809,-0.00586280559677,0.134280324844,0.134408251718,1,node-envelope-not-wall-surface
77,23,0.0497237569061,1.70169602069,-0.02351308018,0.17859957548,0.180140704176,3,node-envelope-not-wall-surface
77,23,0.0497237569061,1.78896248329,-0.0389891344883,0.175868620487,0.180138625175,1,node-envelope-not-wall-surface
77,23,0.0497237569061,1.87622894589,-0.0541677438213,0.17179813476,0.18013534794,3,node-envelope-not-wall-surface
77,23,0.0497237569061,1.96349540849,-0.0247913477088,0.0598516078681,0.0647829135314,1,node-envelope-not-wall-surface
77,23,0.0497237569061,2.05076187109,-0.0831775604757,0.159782607039,0.180136026599,2,node-envelope-not-wall-surface
77,23,0.0497237569061,2.13802833369,-0.0516484842772,0.08107188085,0.0961260411787,1,node-envelope-not-wall-surface
77,23,0.0497237569061,2.22529479629,-0.109659889079,0.14291154983,0.180136066204,1,node-envelope-not-wall-surface
77,23,0.0497237569061,2.31256125889,-0.0939811699351,0.102562449691,0.139109727873,2,node-envelope-not-wall-surface
77,23,0.0497237569061,2.39982772149,-0.132810116136,0.121698049641,0.180135899349,1,node-envelope-not-wall-surface
77,23,0.0497237569061,2.48709418409,-0.119797852553,0.0919241253658,0.151001888401,3,node-envelope-not-wall-surface
77,23,0.0497237569061,2.57436064669,-0.151925184106,0.0967870166614,0.180136026823,1,node-envelope-not-wall-surface
77,23,0.0497237569061,2.66162710929,-0.113697357225,0.0591870979059,0.128180347941,1,node-envelope-not-wall-surface
77,23,0.0497237569061,2.74889357189,-0.166423895802,0.0689350347442,0.180135926758,1,node-envelope-not-wall-surface
77,23,0.0497237569061,2.92342649709,-0.175866046576,0.0389885638661,0.180135988771,1,node-envelope-not-wall-surface
77,23,0.0497237569061,3.01069295969,-0.143916632877,0.0189469841626,0.145158483829,3,node-envelope-not-wall-surface
77,23,0.0497237569061,3.09795942229,-0.179964438223,0.00785741706284,0.180135887674,2,node-envelope-not-wall-surface
77,23,0.0497237569061,3.18522588489,-0.179964522449,-0.00785742074022,0.18013597198,1,node-envelope-not-wall-surface
77,23,0.0497237569061,3.27249234749,-0.138475496993,-0.0182306450338,0.139670396598,1,node-envelope-not-wall-surface
77,23,0.0497237569061,3.35975881009,-0.17586621962,-0.038988602229,0.180136166017,1,node-envelope-not-wall-surface
77,23,0.0497237569061,3.44702527269,-0.146668099099,-0.0462442740131,0.153785773634,1,node-envelope-not-wall-surface
77,23,0.0497237569061,3.53429173529,-0.166424032214,-0.0689350912477,0.180136074409,4,node-envelope-not-wall-surface
77,23,0.0497237569061,3.70882466049,-0.151925219192,-0.0967870390139,0.180136068425,1,node-envelope-not-wall-surface
77,23,0.0497237569061,3.79609112309,-0.111363594677,-0.0854522916741,0.140370739015,2,node-envelope-not-wall-surface
77,23,0.0497237569061,3.88335758569,-0.132810365875,-0.121698278484,0.180136238081,2,node-envelope-not-wall-surface
77,23,0.0497237569061,3.97062404829,-0.07940940466,-0.0866601583703,0.117540786952,2,node-envelope-not-wall-surface
77,23,0.0497237569061,4.05789051089,-0.109659887209,-0.142911547394,0.180136063134,3,node-envelope-not-wall-surface
77,23,0.0497237569061,4.14515697349,-0.0493551118182,-0.0774720071781,0.0918577103938,1,node-envelope-not-wall-surface
77,23,0.0497237569061,4.23242343609,-0.0831775566297,-0.159782599651,0.18013601827,1,node-envelope-not-wall-surface
77,23,0.0497237569061,4.31968989869,-0.0498336164127,-0.120308992606,0.130221515221,1,node-envelope-not-wall-surface
77,23,0.0497237569061,4.40695636129,-0.0541679686368,-0.171798847783,0.180136095566,1,node-envelope-not-wall-surface
77,23,0.0497237569061,4.58148928649,-0.02351248241,-0.178595034966,0.180136124483,4,node-envelope-not-wall-surface
77,23,0.0497237569061,4.66875574908,-0.00785742595138,-0.179964641805,0.180136091449,1,node-envelope-not-wall-surface
77,23,0.0497237569061,4.84328867428,0.023512470725,-0.178594946209,0.18013603496,2,node-envelope-not-wall-surface
77,23,0.0497237569061,4.93055513688,0.0330090647739,-0.148894269174,0.152509349713,2,node-envelope-not-wall-surface
77,23,0.0497237569061,5.01782159948,0.0541679378586,-0.171798750167,0.180135993213,1,node-envelope-not-wall-surface
77,23,0.0497237569061,5.10508806208,0.0546142106337,-0.13185036801,0.14271380994,3,node-envelope-not-wall-surface
77,23,0.0497237569061,5.19235452468,0.0831775128026,-0.15978251546,0.180135923354,1,node-envelope-not-wall-surface
77,23,0.0497237569061,5.27962098728,0.0477433915486,-0.0749421131165,0.0888580427138,1,node-envelope-not-wall-surface
77,23,0.0497237569061,5.36688744988,0.109659796521,-0.142911429206,0.180135914161,2,node-envelope-not-wall-surface
77,23,0.0497237569061,5.54142037508,0.132810117518,-0.121698050907,0.180135901224,3,node-envelope-not-wall-surface
77,23,0.0497237569061,5.62868683768,0.0678965776701,-0.0520988764376,0.0855817631588,1,node-envelope-not-wall-surface
77,23,0.0497237569061,5.71595330028,0.151925030757,-0.0967869189675,0.180135845,1,node-envelope-not-wall-surface
77,23,0.0497237569061,5.80321976288,0.113291868973,-0.0589760140827,0.127723207807,1,node-envelope-not-wall-surface
77,23,0.0497237569061,5.89048622548,0.166423904262,-0.0689350382483,0.180135935915,1,node-envelope-not-wall-surface
77,23,0.0497237569061,5.97775268808,0.0975450978168,-0.0307558512027,0.102278876076,1,node-envelope-not-wall-surface
77,23,0.0497237569061,6.06501915068,0.175865872704,-0.0389885253195,0.180135810678,3,node-envelope-not-wall-surface
77,23,0.0497237569061,6.23955207588,0.179964335653,-0.00785741258452,0.180135785006,2,node-envelope-not-wall-surface
77,23,0.0828729281768,0.0436332312999,0.179968793753,0.00785760722936,0.180140247353,2,node-envelope-not-wall-surface
77,23,0.0828729281768,0.1308996939,0.178599024691,0.0235130076672,0.180140148635,3,node-envelope-not-wall-surface
77,23,0.0828729281768,0.305432619099,0.171802739318,0.054169195633,0.180140175954,2,node-envelope-not-wall-surface
77,23,0.0828729281768,0.392699081699,0.136961826772,0.0567314461763,0.148246413036,2,node-envelope-not-wall-surface
77,23,0.0828729281768,0.479965544298,0.159786292359,0.083179478932,0.180140181362,2,node-envelope-not-wall-surface
77,23,0.0828729281768,0.654498469498,0.14291479905,0.109662382293,0.180140161756,2,node-envelope-not-wall-surface
77,23,0.0828729281768,0.741764932098,0.0504100236651,0.0461922761673,0.0683732174424,1,node-envelope-not-wall-surface
77,23,0.0828729281768,0.829031394697,0.12170093652,0.132813266612,0.180140172471,1,node-envelope-not-wall-surface
77,23,0.0828729281768,0.916297857297,0.0600333779063,0.0782370213049,0.0986156071091,1,node-envelope-not-wall-surface
77,23,0.0828729281768,1.0035643199,0.0967892625303,0.151928709414,0.180140206743,2,node-envelope-not-wall-surface
77,23,0.0828729281768,1.0908307825,0.0688726693047,0.132303166771,0.149156201731,1,node-envelope-not-wall-surface
77,23,0.0828729281768,1.1780972451,0.0689366409961,0.166427773637,0.180140124097,2,node-envelope-not-wall-surface
77,23,0.0828729281768,1.3526301703,0.0389895330447,0.175870418259,0.180140466596,1,node-envelope-not-wall-surface
77,23,0.0828729281768,1.4398966329,0.0235131023795,0.178599744102,0.180140874253,1,node-envelope-not-wall-surface
77,23,0.0828729281768,1.5271630955,0.00785763318646,0.179969388268,0.180140842434,3,node-envelope-not-wall-surface
77,23,0.0828729281768,1.61442955809,-0.00235719851602,0.053988722162,0.0540401564166,1,node-envelope-not-wall-surface
77,23,0.0828729281768,1.70169602069,-0.0235131055968,0.17859976854,0.180140898902,3,node-envelope-not-wall-surface
77,23,0.0828729281768,1.78896248329,-0.0389895329321,0.175870417751,0.180140466076,2,node-envelope-not-wall-surface
77,23,0.0828729281768,1.87622894589,-0.0412491259086,0.130825513334,0.137174361042,2,node-envelope-not-wall-surface
77,23,0.0828729281768,1.96349540849,-0.068936666947,0.166427836288,0.18014019191,1,node-envelope-not-wall-surface
77,23,0.0828729281768,2.05076187109,-0.0681950457581,0.131001464049,0.147688685582,1,node-envelope-not-wall-surface
77,23,0.0828729281768,2.13802833369,-0.0967892420932,0.151928677334,0.180140168706,3,node-envelope-not-wall-surface
77,23,0.0828729281768,2.31256125889,-0.12170094495,0.132813275812,0.180140184949,3,node-envelope-not-wall-surface
77,23,0.0828729281768,2.48709418409,-0.142914778077,0.109662366199,0.18014013532,4,node-envelope-not-wall-surface
77,23,0.0828729281768,2.57436064669,-0.12406146907,0.0790358724566,0.147098325085,1,node-envelope-not-wall-surface
77,23,0.0828729281768,2.66162710929,-0.159786310493,0.0831794883717,0.180140201806,2,node-envelope-not-wall-surface
77,23,0.0828729281768,2.74889357189,-0.122387630625,0.0506946164716,0.132471416801,1,node-envelope-not-wall-surface
77,23,0.0828729281768,2.83616003449,-0.171802779155,0.0541692081936,0.180140217724,4,node-envelope-not-wall-surface
77,23,0.0828729281768,2.92342649709,-0.102581463548,0.0227417629547,0.105072091661,1,node-envelope-not-wall-surface
77,23,0.0828729281768,3.01069295969,-0.178599091227,0.0235130164269,0.180140215745,2,node-envelope-not-wall-surface
77,23,0.0828729281768,3.18522588489,-0.179968835053,-0.00785760903257,0.180140288692,3,node-envelope-not-wall-surface
77,23,0.0828729281768,3.27249234749,-0.178599146039,-0.023513023643,0.18014027103,2,node-envelope-not-wall-surface
77,23,0.0828729281768,3.44702527269,-0.171802810472,-0.0541692180677,0.180140250561,2,node-envelope-not-wall-surface
77,23,0.0828729281768,3.53429173529,-0.136990302449,-0.0567432411881,0.148277234887,4,node-envelope-not-wall-surface
77,23,0.0828729281768,3.62155819789,-0.159786439646,-0.0831795556048,0.180140347411,1,node-envelope-not-wall-surface
77,23,0.0828729281768,3.70882466049,-0.123814401356,-0.0788784729636,0.146805379602,2,node-envelope-not-wall-surface
77,23,0.0828729281768,3.79609112309,-0.142914880166,-0.109662444535,0.180140264001,1,node-envelope-not-wall-surface
77,23,0.0828729281768,3.88335758569,-0.0844192047984,-0.0773559490426,0.114501288163,2,node-envelope-not-wall-surface
77,23,0.0828729281768,3.97062404829,-0.121701003809,-0.132813340046,0.180140272073,2,node-envelope-not-wall-surface
77,23,0.0828729281768,4.05789051089,-0.0545784100694,-0.0711279688118,0.0896548425519,1,node-envelope-not-wall-surface
77,23,0.0828729281768,4.14515697349,-0.0967892958197,-0.151928761667,0.180140268699,3,node-envelope-not-wall-surface
77,23,0.0828729281768,4.23242343609,-0.0516326520672,-0.0991854017892,0.11181983137,1,node-envelope-not-wall-surface
77,23,0.0828729281768,4.31968989869,-0.0689367012955,-0.166427919213,0.180140281667,2,node-envelope-not-wall-surface
77,23,0.0828729281768,4.49422282389,-0.0389894768853,-0.17587016494,0.180140207127,4,node-envelope-not-wall-surface
77,23,0.0828729281768,4.66875574908,-0.00785760860446,-0.179968825248,0.180140278878,2,node-envelope-not-wall-surface
77,23,0.0828729281768,4.75602221168,0.00785760705256,-0.179968789703,0.180140243299,3,node-envelope-not-wall-surface
77,23,0.0828729281768,4.84328867428,0.00567265973316,-0.0430881284982,0.0434599342605,1,node-envelope-not-wall-surface
77,23,0.0828729281768,4.93055513688,0.0389894829746,-0.175870192407,0.180140235261,2,node-envelope-not-wall-surface
77,23,0.0828729281768,5.01782159948,0.0424735924408,-0.134709025023,0.141246336156,1,node-envelope-not-wall-surface
77,23,0.0828729281768,5.10508806208,0.0689366715272,-0.166427847346,0.180140203879,2,node-envelope-not-wall-surface
77,23,0.0828729281768,5.27962098728,0.0967892724918,-0.15192872505,0.180140225283,3,node-envelope-not-wall-surface
77,23,0.0828729281768,5.45415391248,0.121700974905,-0.132813308502,0.180140229289,1,node-envelope-not-wall-surface
77,23,0.0828729281768,5.54142037508,0.108997384897,-0.0998777016671,0.147837698861,2,node-envelope-not-wall-surface
77,23,0.0828729281768,5.62868683768,0.142914869266,-0.109662436171,0.180140250261,2,node-envelope-not-wall-surface
77,23,0.0828729281768,5.71595330028,0.11868662707,-0.0756117204618,0.140725433794,2,node-envelope-not-wall-surface
77,23,0.0828729281768,5.80321976288,0.159786245726,-0.0831794546563,0.180140128789,2,node-envelope-not-wall-surface
77,23,0.0828729281768,5.89048622548,0.139611567524,-0.0578290047325,0.151114471758,2,node-envelope-not-wall-surface
77,23,0.0828729281768,5.97775268808,0.171802809564,-0.0541692177816,0.180140249609,2,node-envelope-not-wall-surface
77,23,0.0828729281768,6.06501915068,0.130307078312,-0.0288883837664,0.133470870885,1,node-envelope-not-wall-surface
77,23,0.0828729281768,6.15228561328,0.178599107834,-0.0235130186133,0.180140232495,2,node-envelope-not-wall-surface
77,23,0.116022099448,0.0436332312999,0.179969034016,0.00785761771949,0.180140487845,3,node-envelope-not-wall-surface
77,23,0.116022099448,0.1308996939,0.178599033731,0.0235130088574,0.180140157753,2,node-envelope-not-wall-surface
77,23,0.116022099448,0.218166156499,0.175870499397,0.0389895510327,0.180140549705,1,node-envelope-not-wall-surface
77,23,0.116022099448,0.305432619099,0.171802675615,0.0541691755475,0.180140109159,2,node-envelope-not-wall-surface
77,23,0.116022099448,0.392699081699,0.166428124853,0.0689367864746,0.180140504251,2,node-envelope-not-wall-surface
77,23,0.116022099448,0.479965544298,0.159786216229,0.0831794393012,0.180140095535,3,node-envelope-not-wall-surface
77,23,0.116022099448,0.567232006898,0.151929000016,0.0967894476646,0.180140551307,2,node-envelope-not-wall-surface
77,23,0.116022099448,0.654498469498,0.14291475903,0.109662351584,0.180140111312,2,node-envelope-not-wall-surface
77,23,0.116022099448,0.741764932098,0.132813527345,0.121701175437,0.180140526114,3,node-envelope-not-wall-surface
77,23,0.116022099448,0.829031394697,0.121700893341,0.132813219491,0.180140108558,1,node-envelope-not-wall-surface
77,23,0.116022099448,0.916297857297,0.109662593515,0.142915074321,0.180140508728,1,node-envelope-not-wall-surface
77,23,0.116022099448,1.0035643199,0.0967892065977,0.151928621617,0.180140102643,3,node-envelope-not-wall-surface
77,23,0.116022099448,1.0908307825,0.0831796332392,0.15978658878,0.180140515542,3,node-envelope-not-wall-surface
77,23,0.116022099448,1.1780972451,0.0689366322795,0.166427752594,0.180140101319,2,node-envelope-not-wall-surface
77,23,0.116022099448,1.2653637077,0.0541693076367,0.171803094548,0.180140548423,3,node-envelope-not-wall-surface
77,23,0.116022099448,1.3526301703,0.0389894442272,0.175870017629,0.180140056239,1,node-envelope-not-wall-surface
77,23,0.116022099448,1.4398966329,0.0235130728471,0.178599519781,0.180140647997,3,node-envelope-not-wall-surface
77,23,0.116022099448,1.5271630955,0.00785762606103,0.179969225069,0.18014067908,3,node-envelope-not-wall-surface
77,23,0.116022099448,1.61442955809,-0.00572053412226,0.131021772348,0.131146594847,1,node-envelope-not-wall-surface
77,23,0.116022099448,1.70169602069,-0.0235130741207,0.178599529455,0.180140657755,2,node-envelope-not-wall-surface
77,23,0.116022099448,1.78896248329,-0.0389894459729,0.175870025503,0.180140064305,2,node-envelope-not-wall-surface
77,23,0.116022099448,1.87622894589,-0.0541693102474,0.171803102828,0.180140557105,2,node-envelope-not-wall-surface
77,23,0.116022099448,1.96349540849,-0.0689366291543,0.166427745049,0.180140093153,1,node-envelope-not-wall-surface
77,23,0.116022099448,2.05076187109,-0.0831796374516,0.159786596872,0.180140524665,2,node-envelope-not-wall-surface
77,23,0.116022099448,2.13802833369,-0.0967892033329,0.151928616492,0.180140096567,1,node-envelope-not-wall-surface
77,23,0.116022099448,2.22529479629,-0.10966261765,0.142915105774,0.180140548373,3,node-envelope-not-wall-surface
77,23,0.116022099448,2.31256125889,-0.121700904786,0.13281323198,0.180140125499,3,node-envelope-not-wall-surface
77,23,0.116022099448,2.39982772149,-0.132813518721,0.121701167535,0.180140514416,2,node-envelope-not-wall-surface
77,23,0.116022099448,2.48709418409,-0.142914763036,0.109662354658,0.180140116361,2,node-envelope-not-wall-surface
77,23,0.116022099448,2.57436064669,-0.151928991814,0.0967894424389,0.180140541581,2,node-envelope-not-wall-surface
77,23,0.116022099448,2.66162710929,-0.159786199419,0.0831794305507,0.180140076584,2,node-envelope-not-wall-surface
77,23,0.116022099448,2.74889357189,-0.166428200347,0.0689368177453,0.180140585965,1,node-envelope-not-wall-surface
77,23,0.116022099448,2.83616003449,-0.171802689335,0.0541691798736,0.180140123546,1,node-envelope-not-wall-surface
77,23,0.116022099448,2.92342649709,-0.175870553155,0.0389895629504,0.180140604767,3,node-envelope-not-wall-surface
77,23,0.116022099448,3.01069295969,-0.17859898398,0.0235130023076,0.180140107573,2,node-envelope-not-wall-surface
77,23,0.116022099448,3.09795942229,-0.179969039248,0.00785761794791,0.180140493082,2,node-envelope-not-wall-surface
77,23,0.116022099448,3.18522588489,-0.179969117161,-0.00785762134964,0.180140571068,4,node-envelope-not-wall-surface
77,23,0.116022099448,3.27249234749,-0.178598984348,-0.023513002356,0.180140107944,1,node-envelope-not-wall-surface
77,23,0.116022099448,3.35975881009,-0.175870533903,-0.0389895586825,0.180140585048,2,node-envelope-not-wall-surface
77,23,0.116022099448,3.44702527269,-0.171802650552,-0.0541691676452,0.18014008288,2,node-envelope-not-wall-surface
77,23,0.116022099448,3.53429173529,-0.166428095292,-0.0689367742297,0.180140472253,1,node-envelope-not-wall-surface
77,23,0.116022099448,3.62155819789,-0.159786248569,-0.0831794561361,0.180140131994,2,node-envelope-not-wall-surface
77,23,0.116022099448,3.70882466049,-0.151929014507,-0.096789456896,0.180140568488,3,node-envelope-not-wall-surface
77,23,0.116022099448,3.79609112309,-0.142914745603,-0.109662341281,0.180140094387,1,node-envelope-not-wall-surface
77,23,0.116022099448,3.88335758569,-0.132813593509,-0.121701236065,0.180140615855,2,node-envelope-not-wall-surface
