case_label,severity,node_id,z_cm,x_cm,y_cm,r_cm,theta_rad,ux_cm_s,uy_cm_s,uz_cm_s,speed_cm_s,xdmf_time_s,source
60,40,29,2.8,-3.66689202823e-08,0.134090667179,0.134090667179,1.57079660026,0.00404391971158,-0.0136416320729,-1.03953125489,1.03962862471,0.9995,node-centered-resolved-3d-velocity
60,40,30,2.9,-1.13280546799e-07,0.153725291539,0.153725291539,1.5707970637,-0.00339811613855,-0.00308202609461,-1.04678283798,1.04679289068,0.9995,node-centered-resolved-3d-velocity
60,40,31,3,4.42682722263e-08,0.168605201248,0.168605201248,1.57079606424,0.0028592857261,0.00238690036963,-1.04137967664,1.0413863374,0.9995,node-centered-resolved-3d-velocity
60,40,32,3.1,-1.82958626458e-08,0.176262473482,0.176262473482,1.57079643059,-0.000353033977588,0.000342965828427,-1.05450323913,1.054503354,0.9995,node-centered-resolved-3d-velocity
60,40,33,3.2,2.46713695084e-08,0.179061271707,0.179061271707,1.57079618901,0.00126830021649,-0.00100066259972,-1.05223449486,1.05223573503,0.9995,node-centered-resolved-3d-velocity
60,40,34,3.3,-5.3763983762e-08,0.179811897724,0.179811897724,1.5707966258,0.000124335772906,-0.000183897328792,-1.04687808498,1.04687810852,0.9995,node-centered-resolved-3d-velocity
60,40,35,3.4,6.17136638017e-09,0.179962839391,0.179962839391,1.5707962925,0.000722346700344,-0.000339543393294,-1.03533406643,1.03533437409,0.9995,node-centered-resolved-3d-velocity
60,40,36,3.5,-1.99828978156e-08,0.17998739963,0.17998739963,1.57079643782,0.000818044910309,-0.000794996026257,-1.02796399562,1.02796462853,0.9995,node-centered-resolved-3d-velocity
60,40,37,3.6,-2.55067089574e-08,0.179992802288,0.179992802288,1.5707964685,0.00171512011253,-0.00103765078541,-1.01819894685,1.01820092012,0.9995,node-centered-resolved-3d-velocity
60,40,38,3.7,-4.14374920707e-08,0.179995903286,0.179995903286,1.57079655701,0.000330546176319,-0.0013962935203,-1.00496471545,1.00496573981,0.9995,node-centered-resolved-3d-velocity
60,40,39,3.8,-6.00534991845e-08,0.179998491138,0.179998491138,1.57079666043,-4.088035228e-05,-0.000708497898209,-0.992486686535,0.992486940262,0.9995,node-centered-resolved-3d-velocity
60,40,40,3.9,-3.27757696717e-08,0.180000682139,0.180000682139,1.57079650888,-0.00106845402276,-0.00073970506886,-0.98942937631,0.98943022971,0.9995,node-centered-resolved-3d-velocity
60,40,41,4,-1.0976336854e-08,0.180002528821,0.180002528821,1.57079638777,0.000794822699126,-0.000513180020807,-0.974553047214,0.974553506448,0.9995,node-centered-resolved-3d-velocity
60,40,42,4.1,-2.57482337944e-08,0.180004065158,0.180004065158,1.57079646984,0.00113786477316,-0.000584529789637,-0.973112151036,0.973112991849,0.9995,node-centered-resolved-3d-velocity
60,40,43,4.2,-2.5433440318e-08,0.18000529909,0.18000529909,1.57079646809,-0.0022943901389,-0.00112314913077,-0.971353439795,0.971356798861,0.9995,node-centered-resolved-3d-velocity
60,40,44,4.3,-1.07383916847e-08,0.180006274641,0.180006274641,1.57079638645,0.000316247148577,-0.00108101684512,-0.95452647163,0.954527136153,0.9995,node-centered-resolved-3d-velocity
60,40,45,4.4,8.59167708988e-09,0.180007047391,0.180007047391,1.57079627907,-0.000505309183377,-0.000267727316998,-0.950169638948,0.950169811031,0.9995,node-centered-resolved-3d-velocity
60,40,46,4.5,-1.58654422256e-08,0.180007582176,0.180007582176,1.57079641493,0.000596451770265,-0.000417052872826,-0.942616909349,0.942617190316,0.9995,node-centered-resolved-3d-velocity
60,40,47,4.6,-2.6040149524e-08,0.18000792011,0.18000792011,1.57079647146,-0.00102646023233,-0.000795390618587,-0.939056232202,0.939057130053,0.9995,node-centered-resolved-3d-velocity
60,40,48,4.7,-1.74789195838e-08,0.180008105266,0.180008105266,1.5707964239,0.000614650558706,-0.000661024155831,-0.932057473008,0.932057910078,0.9995,node-centered-resolved-3d-velocity
60,40,49,4.8,-5.61099366128e-09,0.18000811494,0.18000811494,1.57079635797,0.00027762363385,-0.00025424499107,-0.925517314884,0.925517391444,0.9995,node-centered-resolved-3d-velocity
60,40,50,4.9,-9.12043033456e-10,0.180007985388,0.180007985388,1.57079633186,8.97198913508e-05,-0.000130503740701,-0.92112064453,0.921120658145,0.9995,node-centered-resolved-3d-velocity
60,40,51,5,3.80603046886e-11,0.180007721723,0.180007721723,1.57079632658,0.000449861232153,-0.000323029803615,-0.924083712184,0.924083878145,0.9995,node-centered-resolved-3d-velocity
60,40,52,5.1,3.63960879661e-08,0.180007353891,0.180007353891,1.5707961246,0.000422644148392,0.00171104383154,-0.941150584877,0.941152235143,0.9995,node-centered-resolved-3d-velocity
60,40,53,5.2,2.3100280944e-08,0.18000687255,0.18000687255,1.57079619846,-0.00148635662327,0.00143416480761,-0.917299214048,0.917301539396,0.9995,node-centered-resolved-3d-velocity
60,40,54,5.3,1.15059515368e-08,0.180006262329,0.180006262329,1.57079626288,0.000335869968609,0.000663029783032,-0.911271086861,0.911271389963,0.9995,node-centered-resolved-3d-velocity
60,40,55,5.4,-6.23386497177e-09,0.1800055686,0.1800055686,1.57079636143,-0.00205959088808,-3.55878417251e-05,-0.918608184178,0.918610493746,0.9995,node-centered-resolved-3d-velocity
60,40,56,5.5,-2.6206427067e-09,0.180004795101,0.180004795101,1.57079634135,0.000472709817273,0.000327831699536,-0.91312912657,0.913129307776,0.9995,node-centered-resolved-3d-velocity
60,40,57,5.6,-9.19552065399e-09,0.18000393357,0.18000393357,1.57079637788,0.000376471795372,-0.00138082953708,-0.920664151666,0.920665264135,0.9995,node-centered-resolved-3d-velocity
60,40,58,5.7,-3.44336258141e-08,0.180002985252,0.180002985252,1.57079651809,0.00325348626227,-0.00235946168167,-0.921872353559,0.921881114076,0.9995,node-centered-resolved-3d-velocity
60,40,59,5.8,1.78608165089e-08,0.180002032271,0.180002032271,1.57079622757,0.000687887925944,0.00102838776834,-0.896589055475,0.896589909138,0.9995,node-centered-resolved-3d-velocity
60,40,60,5.9,-7.33760148315e-10,0.180000936755,0.180000936755,1.57079633087,-0.00314342486122,-0.000530045514361,-0.909024262295,0.909029851825,0.9995,node-centered-resolved-3d-velocity
60,40,61,6,2.3270120507e-11,0.180000000001,0.180000000001,1.57079632667,0.00323328339587,0.215351472349,-0.0343579239613,0.218099008946,0.9995,node-centered-resolved-3d-velocity
60,40,62,0.075,-9.83712100698e-08,0.18024091362,0.18024091362,1.57079687257,-0.00122293209432,0.000667701658311,-0.858556262281,0.858557392893,0.9995,node-centered-resolved-3d-velocity
60,40,63,0.05,7.66491073287e-07,0.180238918253,0.180238918254,1.57079207416,0.0018220495109,0.00156496173478,-0.833413246823,0.833416707866,0.9995,node-centered-resolved-3d-velocity
60,40,64,0.025,-6.5651413535e-06,0.180220066239,0.180220066359,1.57083275527,0.00789023363501,0.0666963070947,-0.623479587791,0.627086476938,0.9995,node-centered-resolved-3d-velocity
60,40,65,0.175,4.7642703499e-08,0.180239239855,0.180239239855,1.57079606246,-0.000309698759731,-0.000889618957883,-0.860435398153,0.860435913785,0.9995,node-centered-resolved-3d-velocity
60,40,66,0.15,9.92600193632e-08,0.180239826977,0.180239826977,1.57079577608,0.000432701088436,0.00083421389717,-0.862139867366,0.862140379547,0.9995,node-centered-resolved-3d-velocity
60,40,67,0.125,1.07918389799e-07,0.180240366033,0.180240366033,1.57079572805,0.00209164061248,0.00145348599668,-0.861847282235,0.861851045992,0.9995,node-centered-resolved-3d-velocity
60,40,68,0.275,1.91085956168e-08,0.1802372014,0.1802372014,1.57079622078,0.000640108295567,0.000206624329208,-0.885341508252,0.885341763765,0.9995,node-centered-resolved-3d-velocity
60,40,69,0.25,9.43742988081e-08,0.180237763895,0.180237763895,1.57079580318,-0.00293258573034,-8.1819031693e-05,-0.869601558167,0.869606506829,0.9995,node-centered-resolved-3d-velocity
60,40,70,0.225,1.59187918598e-07,0.180238259375,0.180238259375,1.57079544359,0.00140251640242,0.000898991112262,-0.873005435176,0.873007024648,0.9995,node-centered-resolved-3d-velocity
60,40,71,0.375,1.09655191418e-07,0.180235210371,0.180235210371,1.57079571839,0.00106335921616,0.00219609414356,-0.885919770668,0.885923130764,0.9995,node-centered-resolved-3d-velocity
60,40,72,0.35,1.09284476881e-07,0.180235771686,0.180235771686,1.57079572045,-0.000963005978214,-8.49075394601e-05,-0.868210858878,0.868211397105,0.9995,node-centered-resolved-3d-velocity
