severity,mesh_kind,line_group,z1_cm,x1_cm,y1_cm,z2_cm,x2_cm,y2_cm,source_index
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.127279220614,0.127279220614,0.09375,-0.149664530214,0.100002641944,45
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.149664530214,0.100002641944,0.09375,-0.166298315852,0.0688830178257,46
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.166298315852,0.0688830178257,0.09375,-0.176541350473,0.0351162579629,47
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.176541350473,0.0351162579629,0.09375,-0.18,2.20436423847e-17,48
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.18,2.20436423847e-17,0.09375,-0.176541350473,-0.0351162579629,49
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.176541350473,-0.0351162579629,0.09375,-0.166298315852,-0.0688830178257,50
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.166298315852,-0.0688830178257,0.09375,-0.149664530214,-0.100002641944,51
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.149664530214,-0.100002641944,0.09375,-0.127279220614,-0.127279220614,52
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.127279220614,-0.127279220614,0.09375,-0.100002641944,-0.149664530214,53
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.100002641944,-0.149664530214,0.09375,-0.0688830178257,-0.166298315852,54
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.0688830178257,-0.166298315852,0.09375,-0.0351162579629,-0.176541350473,55
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-0.0351162579629,-0.176541350473,0.09375,-3.3065463577e-17,-0.18,56
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,-3.3065463577e-17,-0.18,0.09375,0.0351162579629,-0.176541350473,57
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,0.0351162579629,-0.176541350473,0.09375,0.0688830178257,-0.166298315852,58
