r u1d1p951 u3d1p951 area1p951 disc1p951 u1d2p451 u3d2p451 area2p451 disc2p451 u1d2p951 u3d2p951 area2p951 disc2p951
0.025 44.8587970209 45.5763470492 0.000264181624351 0.717550028356 75.8181516064 59.4816173091 0.00013426738695 16.3365342973 51.0614333692 58.5188406821 0.000263772361073 7.45740731289
0.075 44.6343627643 45.1275729711 0.000812395235819 0.493210206777 75.4388237685 59.1862537092 0.000507616931589 16.2525700593 50.8059665356 58.2718640242 0.000724639243531 7.46589748857
0.125 44.1854942513 44.588754957 0.00123564903739 0.403260705718 74.6801680926 58.8017716521 0.000644096023783 15.8783964405 50.2950328684 57.8078584037 0.00105891984042 7.51282553529
0.175 43.5121914818 44.0079664449 0.00186025793108 0.495774963102 73.5421845788 58.4070804611 0.00105818100709 15.1351041178 49.5286323675 57.0601126663 0.00154242229647 7.53148029873
0.225 42.6144544557 43.1468328695 0.00214284221019 0.532378413825 72.0248732271 57.9289676055 0.00133566162979 14.0959056216 48.5067650331 56.0419073711 0.00217948059067 7.53514233804
0.275 41.4922831731 41.9657744561 0.00292176662569 0.473491282947 70.1282340375 57.2485124051 0.00172252822349 12.8797216323 47.229430865 54.6138099737 0.00240393336094 7.38437910872
0.325 40.1456776341 40.5173925611 0.00315367593745 0.371714927031 67.8522670099 56.368275365 0.0018582933512 11.4839916449 45.6966298633 52.9826830606 0.00296828215444 7.28605319731
0.375 38.5746378385 38.809108392 0.00394660317285 0.23447055358 65.1969721444 55.2970130128 0.00238918992432 9.89995913154 43.9083620279 50.8262868866 0.00336116812777 6.9179248587
0.425 36.7791637863 37.0506344849 0.00406878002073 0.271470698581 62.1623494409 54.1692879433 0.00247300468967 7.99306149765 41.864627359 47.9868155028 0.00379637586761 6.12218814375
0.475 34.7592554777 34.9138093506 0.00521086344648 0.154553872858 58.7483988995 52.9181583588 0.00294841906856 5.83024054068 39.5654258565 44.5848826031 0.00432991641283 5.01945674666
0.525 32.5149129126 32.5959387702 0.00502392416251 0.0810258576315 54.9551205202 51.2621314902 0.00328085642039 3.69298902998 37.0107575203 40.6964505065 0.00472370267882 3.68569298618
0.575 30.0461360909 30.0510016501 0.00591102644339 0.00486555921757 50.782514303 49.1389593467 0.0034047820643 1.64355495626 34.2006223505 36.0782479459 0.00541833423876 1.87762559541
0.625 27.3529250127 27.2218534577 0.00654086356253 0.131071555069 46.2305802478 46.6879469843 0.00368291300797 0.457366736466 31.1350203471 30.6093811246 0.00561709613239 0.525639222517
0.675 24.435279678 24.0660328986 0.00692098142191 0.369246779419 41.2993183547 44.0098057472 0.00400196218132 2.71048739246 27.8139515101 25.2736808535 0.00610351881371 2.54027065655
0.725 21.2932000868 20.7616398404 0.00729724435851 0.53156024638 35.9887286237 40.4351781277 0.00453464339785 4.44644950407 24.2374158394 19.7891899402 0.00661573810148 4.44822589927
0.775 17.9266862391 17.2653601979 0.00776627952045 0.661326041171 30.2988110547 34.3014332524 0.00515854270693 4.00262219768 20.4054133352 14.8121645574 0.00646359326775 5.59324877774
0.825 14.3357381349 13.4106938582 0.00931481422968 0.92504427664 24.2295656478 27.6629459033 0.00528081371072 3.43338025545 16.3179439973 10.8698880293 0.0091086432496 5.44805596798
0.875 10.5203557741 9.46800702307 0.0074616873836 1.05234875105 17.780992403 19.3931048692 0.00357825462796 1.61211246615 11.9750078258 7.41280095674 0.00557507197418 4.56220686906
0.925 6.48053915686 4.91361004582 0.010722228007 1.56692911104 10.9530913203 11.3987069103 0.00748707102338 0.44561559009 7.3766048207 3.72966082894 0.00999585623608 3.64694399175
0.975 2.21628828308 1.09051220311 0.00875575060189 1.12577607997 3.74586239957 3.0606674806 0.00521531397677 0.685194918968 2.52273498197 0.619329932209 0.00757785426931 1.90340504976
