case_label,severity,model,nx,dt_s,initial_condition,backend,run_status,half_width_cm,z_cm,mean_u3d_cm_s,mean_u1d_cm_s,abs_velocity_discrepancy_cm_s,relative_discrepancy,node_count,observed_radius_cm,xdmf_time_s,time_offset_s,target_time_s,time_atol_s,one_d_completed_time_s,one_d_terminal_time_error_s,xdmf_target_time_error_s,cross_model_time_offset_s
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.0,18.899067409367866,22.463569148441643,3.5645017390737763,0.1886072821406483,166,0.18000000074454148,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.03015075376884422,14.955177519252672,22.46526734984942,7.510089830596748,0.5021732320414499,86,0.18013557444998657,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.06030150753768844,26.8538259513156,22.46542318663788,4.388402764677718,0.16341815771926252,36,0.180140710261284,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.09045226130653267,28.675984213636493,22.465559554570383,6.21042465906611,0.21657232800793713,33,0.14827723488672287,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.12060301507537688,12.466355651650249,22.465695922772554,9.999340271122305,0.8021061287304627,73,0.1801401725316009,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.1507537688442211,11.845616539677001,22.46583246606689,10.620215926389887,0.8965523990091505,70,0.18013967425892174,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.18090452261306533,12.380154206110516,22.46596922756941,10.085815021458894,0.8146760414729569,71,0.18013912919011246,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.21105527638190955,26.524379641993367,22.466106240732866,4.0582734012605,0.1530016330649802,32,0.18013810097143806,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.24120603015075376,25.053983717731963,22.466243541626696,2.5877401761052674,0.10328657531112681,43,0.1801376715349536,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.271356783919598,12.06124161439278,22.466381164897108,10.405139550504328,0.862692240414767,66,0.18013707182943275,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.3015075376884422,11.115489595654864,22.46651914265865,11.351029547003787,1.021190245316859,63,0.18013655345143928,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.3316582914572864,12.315729017279121,22.466657505693647,10.150928488414525,0.8242247352286369,69,0.1801360423067981,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.36180904522613067,26.559485792947072,22.46679628185606,4.092689511091013,0.15409520888306638,36,0.180135211914206,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.39195979899497485,27.16921604805489,22.46693549306155,4.70228055499334,0.17307384013864427,46,0.15196288794951873,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.4221105527638191,13.452932469046239,22.467075149412626,9.014142680366387,0.6700503924409764,77,0.18013405512057723,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.45226130653266333,11.014880573957655,22.467215262605094,11.45233468864744,1.039714830474336,70,0.18013355984472734,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.4824120603015075,19.74921947630494,22.467355885335287,2.718136409030347,0.1376325992169746,53,0.18013307157637137,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.5125628140703518,24.152261687804277,22.46749705975285,1.6847646280514255,0.06975597771459019,32,0.1801320485400545,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.542713567839196,13.383520570895511,22.467638713771006,9.084118142875495,0.6787540015913514,72,0.1801316881322905,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.5728643216080402,12.935371086802641,22.467780717406406,9.532409630603764,0.7369258729909371,72,0.18013113200744493,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.6030150753768844,13.076366166684586,22.467923240088165,9.391557073403579,0.7182084803751513,74,0.1801306237111453,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.6331658291457286,15.974704791314727,22.46806634504034,6.493361553725615,0.4064777182772094,72,0.18013013332423283,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.6633165829145728,25.200985410574333,22.46820988206707,2.7327755285072612,0.10843923298969844,47,0.18012935293339538,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
