z u1dC23 u3dC23 discC23 flow1dC23 flow3dC23 flowdiscC23 areaC23 intersectionsC23 u1dC40 u3dC40 discC40 flow1dC40 flow3dC40 flowdiscC40 areaC40 intersectionsC40
0.0 22.4635704733 22.3153180528 0.148252420537 2.29005706497 2.26108687856 0.0289701864039 0.101324429848 876.0 22.4461090415 22.3153179563 0.130791085209 2.29005682171 2.2610868784 0.0289699433073 0.101324430278 876.0
0.0301507537688 22.4652764828 22.0218427219 0.443433760924 2.29022004214 2.23660077453 0.0536192676052 0.101562834808 2517.0 22.4477970998 22.008168342 0.439628757883 2.29021813378 2.23722838928 0.0529897444948 0.101654456406 2449.0
0.0603015075377 22.4654410937 22.0406911373 0.424749956389 2.29022232274 2.24061228029 0.0496100424506 0.101657986418 2003.0 22.447944846 22.0174475129 0.43049733308 2.29021874699 2.24068323589 0.0495355111085 0.101768528553 2039.0
0.0904522613065 22.4655864303 22.0376260198 0.427960410453 2.29022266854 2.24010570658 0.0501169619516 0.101649138822 1999.0 22.4480727765 21.9988395838 0.449233192659 2.29021737087 2.2386347591 0.0515826117663 0.101761492945 2059.0
0.120603015075 22.4657318464 22.077721799 0.38801004736 2.29022302062 2.24307603565 0.0471469849692 0.101599071502 2029.0 22.4482001422 22.0590297099 0.389170432245 2.29021593857 2.24360063166 0.0466153069089 0.101708944644 2053.0
0.150753768844 22.4658773252 22.0858491622 0.380028163015 2.29022337721 2.24233191559 0.0478914616212 0.101527991934 2109.0 22.4483274534 22.0605697717 0.387757681613 2.29021450276 2.24229026168 0.0479242410797 0.101642445544 2137.0
0.180904522613 22.4660229223 22.0830265116 0.382996410766 2.29022374372 2.24402981958 0.0461939241393 0.10161785652 2153.0 22.4484547292 22.0555595121 0.392895217126 2.29021306537 2.24371000792 0.0465030574496 0.101729906543 2107.0
0.211055276382 22.4661687321 22.084288346 0.381880386061 2.29022412964 2.24497894601 0.0452451836314 0.101655027811 2107.0 22.4485819976 22.0425282098 0.406053787817 2.29021162913 2.24322171231 0.0469899168144 0.101767895723 1973.0
0.241206030151 22.4663147227 22.0992587562 0.367055966544 2.29022453214 2.24638903632 0.0438354958128 0.101649972115 2165.0 22.4487093209 22.0521793162 0.39653000469 2.2902102004 2.24411890047 0.0460912999373 0.101764041925 2067.0
0.27135678392 22.4664607964 22.1147029734 0.351757822999 2.2902249416 2.24615666397 0.0440682776326 0.101568475356 2221.0 22.4488367732 22.0597146116 0.389122161542 2.29020878674 2.24305398683 0.0471547999038 0.101681006592 2107.0
