r u1d1p951 u3d1p951 u1d2p451 u3d2p451 u1d2p951 u3d2p951
0.025 27.09288735 45.99501179 75.91152606 87.39283987 51.13626581 nan
0.075 27.09288735 nan 75.91152606 nan 51.13626581 84.95193095
0.125 27.09288715 45.23870015 75.91152551 nan 51.13626543 84.2284133
0.175 27.09288331 44.66172099 75.91151466 nan 51.13625796 84.06261133
0.225 27.09284859 43.77287729 75.9114166 nan 51.13619042 82.8557054
0.275 27.09265145 43.04758787 75.91085984 nan 51.13580692 80.13360846
0.325 27.09182646 41.00893725 75.90852985 85.45458384 51.134202 78.24910502
0.375 27.08904141 39.39014164 75.90066421 85.38286366 51.1287841 73.3428329
0.425 27.08102363 37.24246254 75.87802004 nan 51.11318667 66.56442535
0.475 27.06060516 34.80911927 75.82035332 82.87141825 51.07346549 60.63322467
0.525 27.01342631 33.12535152 75.68710881 83.18596068 50.98168587 49.30059109
0.575 26.91269718 30.78197539 75.40262529 nan 50.78573192 36.84732321
0.625 26.71125898 27.99454551 74.83371493 80.08892414 50.39386307 29.32610174
0.675 26.33001048 24.95900836 73.75697661 78.12513204 49.65219929 17.88900385
0.725 25.64156945 20.71283433 71.81265205 73.16958059 48.31293692 10.54068988
0.775 24.4478256 16.47564697 68.44122968 70.84424235 45.99068105 4.26840715
0.825 22.44980882 13.58058194 62.79834532 nan 42.10382861 2.141192163
0.875 19.20804583 11.34944829 53.64281977 nan 35.79744793 nan
0.925 14.09130874 nan 39.19191226 nan 25.84357654 nan
0.975 6.211370989 -0.8802059496 16.9370554 -0.2364373028 10.51429822 -1.056090736
