case_id,paper_severity_percent,imported_case,model,coordinate_mode,z_cm,reference_time_s,imported_time_s,paper_time_offset_s,local_target_time_s,imported_local_target_time_offset_s,local_completed_time_s,imported_local_time_offset_s,time_alignment_tolerance_s,local_time_target_policy,time_alignment_status,area_cm2,mean_velocity_3d_cm_s,mean_velocity_1d_cm_s,velocity_abs_error_cm_s,velocity_rel_error,mean_pressure_3d_dyn_cm2,pressure_1d_dyn_cm2,pressure_abs_error_dyn_cm2,pressure_comparison_status,intersection_count,velocity_cut_status,pressure_cut_status
sev23,23.0,77,canic-extended-1d,deformed,0.0,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.1013244305035765,22.315317862838096,22.453599921767285,0.13828205892918888,0.006196732655978487,1777.865458865839,1977.4703270391292,199.60486817329024,common_section41_outlet_pressure_gauge_operator_applied,876,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.03015075376884422,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10168738179642456,22.007236210105543,22.453616875602506,0.44638066549696376,0.020283358675088396,1762.0163575001532,1977.435061151272,215.4187036511189,common_section41_outlet_pressure_gauge_operator_applied,2517,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.06030150753768844,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10181373852309404,22.02404254415762,22.45700764264671,0.43296509848908826,0.019658747826199696,1753.234719854786,1970.381883579853,217.147163725067,common_section41_outlet_pressure_gauge_operator_applied,2003,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.09045226130653267,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10180770375533346,22.02097424124032,22.460349779312143,0.43937553807182184,0.01995259307142599,1744.5857942040077,1963.327268557568,218.7414743535603,common_section41_outlet_pressure_gauge_operator_applied,1999,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.12060301507537688,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10175726794592255,22.060887896862397,22.460498521104917,0.3996106242425199,0.018113986441105772,1736.1184921611762,1956.1782609284376,220.0597687672614,common_section41_outlet_pressure_gauge_operator_applied,2029,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.1507537688442211,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10168540838692607,22.06948507630289,22.460647213164073,0.3911621368611833,0.01772411705614254,1728.0039905030496,1949.0317414243295,221.0277509212799,common_section41_outlet_pressure_gauge_operator_applied,2109,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.18090452261306533,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10177469276912586,22.066507287933863,22.4607939656119,0.3942866776780356,0.017868105384019454,1720.008897483024,1941.9822587961003,221.97336131307634,common_section41_outlet_pressure_gauge_operator_applied,2153,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.21105527638190955,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10181121779833288,22.067748922905942,22.460940720270184,0.39319179736424203,0.01781748554136012,1712.1866339280114,1934.9327616423623,222.7461277143509,common_section41_outlet_pressure_gauge_operator_applied,2107,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.24120603015075376,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10180544451116176,22.08254009599943,22.461087535873933,0.37854743987450234,0.01714238661987448,1704.4878581225921,1927.8828639995993,223.39500587700718,common_section41_outlet_pressure_gauge_operator_applied,2165,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,0.271356783919598,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10172313450531358,22.097836434283078,22.461234353517067,0.36339791923398934,0.01644495470471515,1696.8530548667686,1920.8329469646483,223.97989209787966,common_section41_outlet_pressure_gauge_operator_applied,2221,valid,valid
