case_id,paper_severity_percent,model,z_cm,section_radius_cm,r_cm,radial_velocity_cm_s,status
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.0,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,1.3943193185237411e-7,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.0035753135965585774,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.007150487761185302,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.010725661925812027,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.014300836090438753,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.017876010255065477,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.021451184419692203,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.02502635858431893,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.02860153274894565,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.03217670691357238,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.0357518810781991,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.03932705524282583,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.04290222940745255,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.04647740357207927,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.050052577736706,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.053627751901332725,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.057202926065959454,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.06077810023058618,0.0,postprocessed_1d_radial_velocity
