sweep,degree,nx,dx,dofs,dt,tfinal,completed_time,steps,area_l1_error,area_l2_error,area_linf_error,area_l2_observed_order,area_log10_l2_error,area_l2_reduction,area_p_sweep_status,flow_l1_error,flow_l2_error,flow_linf_error,flow_l2_observed_order,flow_log10_l2_error,flow_l2_reduction,flow_p_sweep_status,p_sweep_status,dg_limiter_policy,status,error_message
h_refinement,2,20,0.3,120,5.0e-7,0.0002,0.0002,400,4.293455625033066e-9,5.665063610061527e-9,1.3509667246003332e-8,3.0201437347332636,-8.246795209305683,NaN,not_applicable,4.979046074633793e-6,7.1432513982033006e-6,1.7785503312658837e-5,3.0452583298408267,-5.146104065130786,NaN,not_applicable,not_applicable,disabled,ok,
h_refinement,2,40,0.15,240,5.0e-7,0.0002,0.0002,400,5.357781980057766e-10,6.983142996115016e-10,1.3903192902509076e-9,3.0003630242471027,-9.155949064677037,NaN,not_applicable,6.043101598664554e-7,8.653301446018623e-7,2.0860020359095744e-6,3.0242374992274232,-6.062818166958473,NaN,not_applicable,not_applicable,disabled,ok,
h_refinement,2,80,0.075,480,5.0e-7,0.0002,0.0002,400,6.692468892943083e-11,8.726732567818421e-11,1.7259976087258266e-10,3.000058016659609,-10.05914833285651,NaN,not_applicable,7.425297835379339e-8,1.0636423766532574e-7,2.538821658247295e-7,2.9997124882645734,-6.973204368237753,NaN,not_applicable,not_applicable,disabled,ok,
h_refinement,2,160,0.0375,960,5.0e-7,0.0002,0.0002,400,8.360810339249954e-12,1.0907977046647283e-11,2.1300385066869154e-11,NaN,-10.962255784603245,NaN,not_applicable,9.280289168314715e-9,1.3298179611047401e-8,3.147789668905273e-8,NaN,-7.8762078055732285,NaN,not_applicable,not_applicable,disabled,ok,
p_refinement,0,40,0.15,80,5.0e-7,0.0002,0.0002,400,8.417224075961968e-6,1.0783962410599121e-5,3.2330799882199224e-5,NaN,-4.967221634616047,NaN,baseline,0.001036996798661858,0.002584841408052814,0.00991104177883267,NaN,-2.587566097723003,NaN,baseline,baseline,disabled,ok,
p_refinement,1,40,0.15,160,5.0e-7,0.0002,0.0002,400,7.358077884394827e-8,1.0513522931848095e-7,2.4590607628632855e-7,NaN,-6.978251733686867,102.57230122104738,improved,0.00010402886203638046,0.00014007203743395718,0.0003140186380014608,NaN,-3.8536485542231698,18.45365752798124,improved,improved,disabled,ok,
p_refinement,2,40,0.15,240,5.0e-7,0.0002,0.0002,400,5.357781980057766e-10,6.983142996115016e-10,1.3903192902509076e-9,NaN,-9.155949064677037,150.5557445651215,improved,6.043101598664554e-7,8.653301446018623e-7,2.0860020359095744e-6,NaN,-6.062818166958473,161.87120985875768,improved,improved,disabled,ok,
p_refinement,3,40,0.15,320,5.0e-7,0.0002,0.0002,400,2.9948381262144537e-12,3.534499074188152e-12,6.6263938780508624e-12,NaN,-11.45167212775994,197.5709386122556,improved,3.416841035662603e-9,4.4400552887271675e-9,8.179614743343555e-9,NaN,-8.352611621903483,194.89174983898158,improved,improved,disabled,ok,
p_refinement,4,40,0.15,400,5.0e-7,0.0002,0.0002,400,2.4664188019091532e-15,3.231664598332687e-15,8.444633881055097e-15,NaN,-14.490573719262542,1093.7085104721903,improved,1.3460505384843509e-11,1.7747454999434546e-11,3.556520087656147e-11,NaN,-10.750863916352396,250.17983079087298,improved,improved,disabled,ok,
