z_cm qC23_t0001 qC23_t001 qC23_t01 qC23_t1 qC40_t0001 qC40_t001 qC40_t01 qC40_t1
0.0037499999999999999 0 0 1.8911143709211769e-14 1.9069575660880364e-14 0 1.4126623115347957e-14 1.9717354550142205e-14 1.2253819664647442e-14
0.01125 0 0 2.1876789697466192e-14 1.688175449205866e-14 0 1.616409188027735e-14 1.6955383633677405e-14 1.5733801428286675e-14
0.018749999999999999 0 0 2.2179232637981755e-14 2.0088376014766411e-14 0 1.5391829817789498e-14 1.2927671316976958e-14 1.6101500496981651e-14
0.026249999999999999 0 0 1.9247146365648849e-14 2.0571257907476232e-14 0 1.7246380043890385e-14 1.3866792790589525e-14 1.3077368431924638e-14
0.033750000000000002 0 0 1.9040478160036113e-14 1.889859352300032e-14 0 1.5654390094053008e-14 1.2507835131841654e-14 1.3606759829020957e-14
0.041249999999999995 0 0 2.0761192661575552e-14 1.8422116639710289e-14 0 1.5653290654433087e-14 8.1278396542429499e-15 1.4444966260207182e-14
0.048750000000000002 0 0 1.9902085075174562e-14 1.8921103260868397e-14 0 1.5651853036408924e-14 4.4005684619263612e-15 1.3130042015886607e-14
0.056249999999999994 0 0 1.7525929215391364e-14 1.8408640519786909e-14 0 1.5650753774971717e-14 6.5054246886057742e-15 1.0493257686712985e-14
0.063750000000000001 0 0 1.6683894274866226e-14 1.7959334584304918e-14 0 1.5649316389937768e-14 5.0952742936089019e-15 8.4181006394197076e-15
0.071249999999999994 0 0 1.7860103654252517e-14 2.2055002614602304e-14 0 1.5648217306654399e-14 4.3663183430597586e-15 7.6162377238952552e-15
0.078750000000000001 0 0 1.8561115036320181e-14 2.4645155136100606e-14 0 1.5646780154572906e-14 5.0968479231873684e-15 9.2796422643275511e-15
0.086249999999999993 0 0 1.8139980595986562e-14 2.3909148949574163e-14 0 1.5645681249414502e-14 5.3634069772997858e-15 1.1658357258844406e-14
0.09375 0 0 1.978958862872575e-14 2.4713442224599897e-14 0 1.5644244330247719e-14 4.2998157625340734e-15 1.2518188059321467e-14
0.10124999999999999 0 0 2.2769971953600154e-14 2.113496654764693e-14 0 1.5643145603185409e-14 5.0629260618855783e-15 1.1847574401648834e-14
0.10875 0 0 2.4871637730013965e-14 1.9922395791706509e-14 0 1.5641708916895582e-14 4.9562208168250508e-15 1.2724897779476596e-14
0.11624999999999999 0 2.0649339768087917e-15 2.5950791730231796e-14 2.0896174730068019e-14 0 1.5640610367900503e-14 3.9867795103794087e-15 1.3497262306556464e-14
0.12375 0 6.5753181306484879e-15 2.443263711848293e-14 2.2880912706403991e-14 0 1.5639173914449894e-14 4.8781427183269376e-15 1.2620296799618393e-14
0.13125000000000001 0 7.9592080308332601e-15 2.0658085210968222e-14 2.4419384466575969e-14 0 1.5638075543493183e-14 5.543033081087477e-15 1.4263411022868272e-14
0.13874999999999998 0 7.9584770470947385e-15 1.9238391502855772e-14 2.8088638029345666e-14 0 1.5636639322844054e-14 5.0199745680859049e-15 1.4118507329585157e-14
0.14624999999999999 0 7.9579181070831687e-15 1.9748239740335139e-14 2.9271374470032638e-14 0 1.5635541129896867e-14 5.4887779802737714e-15 1.196967975220987e-14
0.15375 0 7.9571872418128764e-15 2.0324253539326966e-14 2.4173822205668094e-14 0 1.5634105142011492e-14 4.5567697284488196e-15 1.092099018518577e-14
0.16125 0 7.9566283923869538e-15 2.2779460215462858e-14 2.0337273016219129e-14 0 1.5633007127044976e-14 5.2501862291751569e-15 1.0830615130286845e-14
0.16874999999999998 0 7.9558976455656916e-15 2.292145088134832e-14 1.8194814720183114e-14 0 1.5631571371885631e-14 4.256519010529303e-15 1.1146192611889716e-14
0.17624999999999999 0 7.9553388867107323e-15 2.5399822080400544e-14 1.4165488466613973e-14 0 1.5630473534870932e-14 3.7461484127420685e-15 1.0852281966325245e-14
0.18375 0 7.9546082583193054e-15 2.4726837933366649e-14 1.6668570254139873e-14 0 1.5629038012399888e-14 4.9637485214043757e-15 1.0124748653754333e-14
0.19125 0 7.9540495900206335e-15 2.3247782497885863e-14 1.8197908289325707e-14 0 1.5627940353308188e-14 5.1107870808467658e-15 1.031237619192253e-14
0.19874999999999998 0 1.0018253056848635e-14 2.6733682079998113e-14 2.0540161788706269e-14 0 1.5626505063487743e-14 6.1113142106851229e-15 1.116027239900855e-14
0.20624999999999999 0 1.4528078632931271e-14 3.02181024007381e-14 2.3361227395672348e-14 0 1.5625407582290195e-14 6.4035714925918338e-15 1.046100481327138e-14
