severity,nx,dx,elapsed_time_s,requested_time_s,terminal_time_error_s,max_abs_q,max_abs_q_z,max_abs_area_drift,solver_volume_defect,physical_volume_defect,requested_q_in,applied_q_in,inlet_area_flux,outlet_area_flux,boundary_flux_integral,conservation_residual,inlet_cell_q,outlet_cell_q,mean_q,rms_q,lh_area_interior_max_abs,lh_area_boundary_max_abs,lh_flow_interior_max_abs,lh_flow_boundary_max_abs,realized_cfl_max,lambda_minus_min,lambda_plus_max,subcritical_margin_min,positivity_projection_count,positivity_correction_total,status,error_message
23.0,100,0.06,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23574385065455,1.8432152591346534e-9,4544.50166534802,1.8953263255146644e-6,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,100,0.06,0.001,0.001,0.0,0.5145776367455445,2.13,0.00016518832292575225,5.850875339774575e-14,1.838106698450549e-13,0.0,0.0,-4.560367706946223e-11,0.0,-5.850875339774575e-14,0.0,7.147789127439698e-9,0.0,0.00248271357120975,0.1217060529228905,4.23574385065455,1.8432152591346534e-9,4544.50166534802,1.8953263255146644e-6,0.1728998908225724,-1037.3993449354343,1035.1109445570646,894.0483207411334,0,0.0,ok,
23.0,100,0.06,0.009999999999999759,0.01,2.411265631607762e-16,0.45790589766849593,2.13,0.00021791006913336394,-5.088190472898879e-5,-0.00015985021809724695,0.0,0.0,6.518417508794526e-7,-0.034704070475416314,5.088190472898879e-5,0.0,-0.00502895187221122,-0.034912086132538385,-0.013715097889220906,0.09387782619782888,4.23574385065455,1.8432152591346534e-9,4544.50166534802,1.8953263255146644e-6,0.1729785096018951,-1037.3993449354343,1037.8710576113704,892.3519797594917,0,0.0,ok,
23.0,100,0.06,0.09999999999999391,0.1,6.0923488476305465e-15,0.46087558275546,2.13,0.0002298725333821222,-2.711510304903575e-5,-8.518460854018091e-5,0.0,0.0,-6.403685891937742e-9,0.008553267882764438,2.711510304903575e-5,0.0,0.0006746235026963051,0.00844463188196102,-0.004999580033096947,0.09006506144731422,4.23574385065455,1.8432152591346534e-9,4544.50166534802,1.8953263255146644e-6,0.1731247878371948,-1038.7487270231686,1037.8710576113704,891.7057823011305,0,0.0,ok,
23.0,100,0.06,1.0,1.0,0.0,0.46474628127964285,2.13,0.00022017828940422424,-2.531448940448766e-5,-7.95278139425151e-5,0.0,0.0,1.255263938768966e-10,-1.3459633210938401e-5,2.531448940448766e-5,0.0,-5.93924403867793e-7,-1.3487048190877764e-5,-0.009231584080636061,0.0903164719520693,4.23574385065455,1.8432152591346534e-9,4544.50166534802,1.8953263255146644e-6,0.1731247878371948,-1038.7487270231686,1037.8710576113704,891.7057823011305,0,0.0,ok,
23.0,200,0.03,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919423209739068,3.686430518269307e-9,3104.2550377480366,3.7906526510293288e-6,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,200,0.03,0.001,0.001,0.0,0.1662221766576367,2.085,4.63462178090443e-5,6.752931547282515e-14,2.1214960139137502e-13,0.0,0.0,-1.432410793281057e-10,0.0,-6.752931547282515e-14,0.0,9.229295808212234e-11,0.0,0.0003693569001062146,0.03240302650175309,1.919423209739068,3.686430518269307e-9,3104.2550377480366,3.7906526510293288e-6,0.34334660843080206,-1029.6909874669575,1030.039825292406,900.065159575803,0,0.0,ok,
23.0,200,0.03,0.009999999999999759,0.01,2.411265631607762e-16,0.14673535939917412,2.085,4.577075205694156e-5,1.5873620005102396e-6,4.986844799390566e-6,0.0,0.0,2.1673392530631094e-7,-0.00932477652841269,-1.5873620005102396e-6,0.0,-0.002906090039116944,-0.009446077148878865,-0.004942648676160499,0.025919819604075443,1.919423209739068,3.686430518269307e-9,3104.2550377480366,3.7906526510293288e-6,0.34389314010946853,-1030.55659387781,1031.6794203284055,899.7927858350457,0,0.0,ok,
23.0,200,0.03,0.09999999999999391,0.1,6.0923488476305465e-15,0.1501833971163042,2.085,4.958642770858113e-5,5.041917168213672e-7,1.5839649935668325e-6,0.0,0.0,5.1492786265125694e-11,0.004368803229298678,-5.041917168213672e-7,0.0,3.945825406406983e-5,0.004405951872527524,-0.0018029695597321883,0.023922583465835513,1.919423209739068,3.686430518269307e-9,3104.2550377480366,3.7906526510293288e-6,0.34389314010946853,-1030.55659387781,1031.6794203284055,899.7927858350457,0,0.0,ok,
23.0,200,0.03,1.0,1.0,0.0,0.14726510602329168,2.085,4.8343538089988536e-5,7.243146446234139e-7,2.275501566436419e-6,0.0,0.0,-6.620037666340826e-11,-2.304165174819019e-5,-7.243146446234139e-7,0.0,-3.075416083463285e-7,-2.3004160844427155e-5,-0.0023523506978669847,0.023069696003311747,1.919423209739068,3.686430518269307e-9,3104.2550377480366,3.7906526510293288e-6,0.34389314010946853,-1030.55659387781,1031.6794203284055,899.7927858350457,0,0.0,ok,
23.0,400,0.015,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6899804023232314,7.372861036538614e-9,630.2819866431091,7.5813053020586576e-6,NaN,NaN,NaN,NaN,0,0.0,ok,
