case_id,severity,wall_mode,geometry_id,pressure_drop_pa,pressure_drop_dyn_cm2,mesh_nz,mesh_nr,mesh_ntheta,mesh_nodes,mesh_cells,velocity_dofs,pressure_dofs,iterations,converged,residual_cm,elapsed_s,time_s,time_step_count,reference_radius_cm,displacement_min_cm,displacement_max_cm,current_radius_min_cm,current_radius_max_cm,max_radius_change_rel,wall_velocity_min_cm_s,wall_velocity_max_cm_s,wall_force_mean_dyn_cm2,wall_force_max_dyn_cm2,pressure_min_dyn_cm2,pressure_max_dyn_cm2,mean_flow_cm3_s,profile_csv,history_csv,status,error_message
fsi-quasi_static_membrane-canic_stenosis-s23-8x2x8,23.0,quasi-static-membrane,canic-stenosis,40.0,400.0,8,2,8,153,576,2091,153,9,true,5.630097879752953e-8,1.078198417,0.0,0,0.18,0.0,2.877034497273635e-5,0.14395827369163258,0.18002877034497272,0.00015983524984849082,0.0,0.0,194.33020773537973,400.00000000000006,0.0,400.00000000000006,0.556172555448835,tmp/simulations/output/membrane_fsi_validation/profiles/fsi-quasi_static_membrane-canic_stenosis-s23-8x2x8.csv,tmp/simulations/output/membrane_fsi_validation/histories/fsi-quasi_static_membrane-canic_stenosis-s23-8x2x8.csv,ok,
fsi-quasi_static_membrane-canic_stenosis-s23-16x4x16,23.0,quasi-static-membrane,canic-stenosis,40.0,400.0,16,4,16,1105,5376,20691,1105,9,true,5.971903721644991e-8,16.512887666,0.0,0,0.18,0.0,3.0516743274696684e-5,0.14021847455283876,0.1800305167432747,0.00016953746263722222,0.0,0.0,194.8215902725444,400.0,0.0,400.0,0.5472318092648494,tmp/simulations/output/membrane_fsi_validation/profiles/fsi-quasi_static_membrane-canic_stenosis-s23-16x4x16.csv,tmp/simulations/output/membrane_fsi_validation/histories/fsi-quasi_static_membrane-canic_stenosis-s23-16x4x16.csv,ok,
fsi-quasi_static_membrane-canic_stenosis-s40-8x2x8,40.0,quasi-static-membrane,canic-stenosis,40.0,400.0,8,2,8,153,576,2091,153,9,true,5.751558029583648e-8,1.097820375,0.0,0,0.18,0.0,2.939171832023135e-5,0.11730372065678249,0.18002939171832022,0.0001666143251302106,0.0,0.0,188.03283654083833,400.0,0.0,400.0,0.4553592550401889,tmp/simulations/output/membrane_fsi_validation/profiles/fsi-quasi_static_membrane-canic_stenosis-s40-8x2x8.csv,tmp/simulations/output/membrane_fsi_validation/histories/fsi-quasi_static_membrane-canic_stenosis-s40-8x2x8.csv,ok,
fsi-quasi_static_membrane-canic_stenosis-s40-16x4x16,40.0,quasi-static-membrane,canic-stenosis,40.0,400.0,16,4,16,1105,5376,20691,1105,9,true,6.050810511044522e-8,16.387987084,0.0,0,0.18,0.0,3.09204398202566e-5,0.11080024674500892,0.18003092043982025,0.00019239061127516947,0.0,0.0,188.15512077772513,400.0,0.0,400.0,0.416006991348298,tmp/simulations/output/membrane_fsi_validation/profiles/fsi-quasi_static_membrane-canic_stenosis-s40-16x4x16.csv,tmp/simulations/output/membrane_fsi_validation/histories/fsi-quasi_static_membrane-canic_stenosis-s40-16x4x16.csv,ok,
