step residual current_radius_min current_radius_max
1 1.52882534752e-5 0.140210135638 0.180015288253
2 7.64411555021e-6 0.140214320766 0.180022932369
3 3.82205217343e-6 0.140216413681 0.180026754421
4 1.91102328167e-6 0.140217460314 0.180028665444
5 9.55510236154e-7 0.140217983719 0.180029620955
6 4.77754414644e-7 0.140218245465 0.180030098709
7 2.38876855055e-7 0.14021837636 0.180030337586
8 1.19438251118e-7 0.140218441818 0.180030457024
9 5.97190372164e-8 0.140218474553 0.180030516743
