z reference_radius displacement current_radius wall_force pressure
0.0 0.18 0.0 0.18 400.0 400.0
0.375 0.18 3.09204398203e-5 0.18003092044 384.010759173 384.010759173
0.75 0.18 2.96337026312e-5 0.180029633703 368.030420645 368.030420645
1.125 0.18 2.83491101916e-5 0.18002834911 352.076711244 352.076711244
1.5 0.18 2.70645831565e-5 0.180027064583 336.123806986 336.123806986
1.875 0.179999983407 2.5777383828e-5 0.180025760791 320.137707599 320.137707599
2.25 0.117284179432 2.25643749739e-5 0.117306743807 280.234485929 280.234485929
2.625 0.11078568137 1.45653753532e-5 0.110800246745 180.892695777 180.892695777
3.0 0.168638851524 1.04680183449e-5 0.168649319542 130.006294033 130.006294033
3.375 0.179961147568 9.00069030517e-6 0.179970148259 111.783020714 111.783020714
3.75 0.179999999589 7.71450999949e-6 0.180007714099 95.8094763197 95.8094763197
4.125 0.18 6.42884872186e-6 0.180006428849 79.8423707548 79.8423707548
4.5 0.18 5.14315129554e-6 0.180005143151 63.874809082 63.874809082
4.875 0.18 3.85741771243e-6 0.180003857418 47.9067911993 47.9067911993
5.25 0.18 2.5716479703e-6 0.180002571648 31.9383170774 31.9383170774
5.625 0.18 1.2858420669e-6 0.180001285842 15.9693866874 15.9693866874
6.0 0.18 0.0 0.18 0.0 0.0
