step residual current_radius_min current_radius_max
1 1.54905306198e-5 0.110792976628 0.180015490531
2 7.74523688493e-6 0.110796625112 0.180023235768
3 3.87260422311e-6 0.110798449783 0.180027108372
4 1.93629499789e-6 0.110799362332 0.180029044667
5 9.68143939973e-7 0.110799818713 0.180030012811
6 4.84070189399e-7 0.110800046958 0.180030496881
7 2.42034203845e-7 0.110800161107 0.180030738915
8 1.21016656213e-7 0.110800218194 0.180030859932
9 6.05081051104e-8 0.110800246745 0.18003092044
